id,code,city,name,visible,lat,lon,line_id,way_order
SEM:LETOILE,SEM:GENLETOILE,Le Pont-de-Claix,L'Etoile,True,45.13788,5.7033,SEM:A,0
SEM:CHANDON,SEM:GENCHANDON,Le Pont-de-Claix,Edmée Chandon,True,45.13671,5.7083,SEM:A,1
SEM:DENPAPIN,SEM:GENDENPAPIN,Échirolles,Denis Papin,True,45.13832,5.71307,SEM:A,2
SEM:ADELAUNE,SEM:GENADELAUNE,Échirolles,Auguste Delaune,True,45.14292,5.71527,SEM:A,3
SEM:MARIECUR,SEM:GENMARIECUR,Échirolles,Marie Curie,True,45.14523,5.71704,SEM:A,4
SEM:RAMPE,SEM:GENRAMPE,Échirolles,La Rampe - Centre-Ville,True,45.14948,5.71818,SEM:A,5
SEM:ECHIGARE,SEM:GENECHIGARE,Échirolles,Echirolles Gare,True,45.15302,5.71848,SEM:A,6
SEM:ESSARTS,SEM:GENESSARTS,Échirolles,Essarts - La Butte,True,45.15588,5.71909,SEM:A,7
SEM:SURIEUX,SEM:GENSURIEUX,Échirolles,Surieux,True,45.15846,5.72192,SEM:A,8
SEM:GRANGES,SEM:GENGRANGES,Échirolles,Les Granges,True,45.15696,5.72781,SEM:A,9
SEM:POLESUD,SEM:GENPOLESUD,Grenoble,Polesud - Alpexpo,True,45.15715,5.73384,SEM:A,10
SEM:GRDPLACE,SEM:GENGRDPLACE,Grenoble,Grand'place,True,45.15893,5.73179,SEM:A,11
SEM:ARLEQUIN,SEM:GENARLEQUIN,Grenoble,Arlequin,True,45.16359,5.73047,SEM:A,12
SEM:BRUYERE,SEM:GENBRUYERE,Grenoble,La Bruyère-Parc Jean Verlhac,True,45.16635,5.73118,SEM:A,13
SEM:MALHERBE,SEM:GENMALHERBE,Grenoble,Malherbe,True,45.16928,5.73229,SEM:A,14
SEM:MAICULTU,SEM:GENMAICULTU,Grenoble,MC2: Maison de la Culture,True,45.17347,5.73206,SEM:A,15
SEM:MOUNIER,SEM:GENMOUNIER,Grenoble,Mounier,True,45.179,5.73179,SEM:A,16
SEM:ALB1BELG,SEM:GENALB1BELG,Grenoble,Albert 1er de Belgique,True,45.18168,5.73167,SEM:A,17
SEM:CHAVANT,SEM:GENCHAVANT,Grenoble,Chavant,True,45.18466,5.73177,SEM:A,18
SEM:VERDUN,SEM:GENVERDUN,Grenoble,Verdun - Préfecture,True,45.1883,5.73144,SEM:A,19
SEM:DUBEDOUT,SEM:GENDUBEDOUT,Grenoble,Hubert Dubedout - Maison du Tourisme,True,45.1902,5.72822,SEM:A,20
SEM:VICTHUGO,SEM:GENVICTHUGO,Grenoble,Victor Hugo,True,45.18938,5.72499,SEM:A,21
SEM:ALSACELO,SEM:GENALSACELO,Grenoble,Alsace-Lorraine,True,45.18911,5.7193,SEM:A,22
SEM:GARES,SEM:GENGARES,Grenoble,Gares,True,45.19078,5.71554,SEM:A,23
SEM:STBRUNO,SEM:GENSTBRUNO,Grenoble,Saint-Bruno,False,45.18833,5.71351,SEM:A,24
SEM:BERRIAT,SEM:GENBERRIAT,Grenoble,Berriat-Le Magasin,True,45.18878,5.70588,SEM:A,25
SEM:FONTAINA,SEM:GENFONTAINA,Fontaine,Les Fontainades - Le Vog,True,45.18909,5.69844,SEM:A,26
SEM:MAISONNA,SEM:GENMAISONNA,Fontaine,Louis Maisonnat,True,45.18912,5.69409,SEM:A,27
SEM:FONTAHDV,SEM:GENFONTAHDV,Fontaine,Fontaine Hôtel de Ville - La Source,True,45.19134,5.68727,SEM:A,28
SEM:CHARLMIC,SEM:GENCHARLMIC,Fontaine,Charles Michels,True,45.19385,5.68009,SEM:A,29
SEM:LAPOYA,SEM:GENLAPOYA,Fontaine,La Poya,True,45.19709,5.67222,SEM:A,30
SEM:PLAINEDS,SEM:GENPLAINEDS,Gières,Plaine des Sports,True,45.18805,5.78421,SEM:B,0
SEM:GIERGARE,SEM:GENGIERGARE,Gières,Gières Gare - Universités,True,45.18528,5.78458,SEM:B,1
SEM:MAYENCIN,SEM:GENMAYENCIN,Gières,Mayencin - Champ Roman,True,45.18491,5.77895,SEM:B,2
SEM:CONDIUNI,SEM:GENCONDIUNI,Saint-Martin-d'Hères,Condillac - Universités,True,45.18915,5.77445,SEM:B,3
SEM:BIBLIUNI,SEM:GENBIBLIUNI,Gières,Bibliothèques Universitaires,True,45.19246,5.7709,SEM:B,4
SEM:GABFAURE,SEM:GENGABFAURE,Saint-Martin-d'Hères,Gabriel Fauré,True,45.19228,5.7643,SEM:B,5
SEM:TAILLEES,SEM:GENTAILLEES,Saint-Martin-d'Hères,Les Taillées - Universités,True,45.19215,5.75784,SEM:B,6
SEM:GRDSABLO,SEM:GENGRDSABLO,La Tronche,Grand Sablon,True,45.19903,5.75,SEM:B,7
SEM:MICHALLO,SEM:GENMICHALLO,La Tronche,Michallon,True,45.20028,5.74533,SEM:B,8
SEM:TRONCHOP,SEM:GENTRONCHOP,Grenoble,La Tronche Hôpital,True,45.20123,5.74184,SEM:B,9
SEM:ILEVERTE,SEM:GENILEVERTE,Grenoble,Ile Verte,True,45.19713,5.73662,SEM:B,10
SEM:NOTREDAM,SEM:GENNOTREDAM,Grenoble,Notre-Dame - Musée,True,45.19358,5.73214,SEM:B,11
SEM:STECLAIR,SEM:GENSTECLAIR,Grenoble,Sainte-Claire - Les Halles,True,45.19146,5.73067,SEM:B,12
SEM:DUBEDOUT,SEM:GENDUBEDOUT,Grenoble,Hubert Dubedout - Maison du Tourisme,True,45.1902,5.72822,SEM:B,13
SEM:VICTHUGO,SEM:GENVICTHUGO,Grenoble,Victor Hugo,True,45.18938,5.72499,SEM:B,14
SEM:ALSACELO,SEM:GENALSACELO,Grenoble,Alsace-Lorraine,True,45.18911,5.7193,SEM:B,15
SEM:GARES,SEM:GENGARES,Grenoble,Gares,True,45.19078,5.71554,SEM:B,16
SEM:STBRUNO,SEM:GENSTBRUNO,Grenoble,Saint-Bruno,False,45.18833,5.71351,SEM:B,17
SEM:PALJUSTI,SEM:GENPALJUSTI,Grenoble,Palais de Justice - Gare,True,45.19164,5.71086,SEM:B,18
SEM:CITEINTE,SEM:GENCITEINTE,Grenoble,Cité Internationale,True,45.19508,5.7112,SEM:B,19
SEM:CEACAMB,SEM:GENCEACAMB,Grenoble,Marie-Louise Paris - CEA,True,45.20216,5.70431,SEM:B,20
SEM:PRESQUIL,SEM:GENPRESQUIL,Grenoble,Oxford,True,45.20613,5.6994,SEM:B,21
SEM:PLAINEDS,SEM:GENPLAINEDS,Gières,Plaine des Sports,True,45.18805,5.78421,SEM:C,0
SEM:GIERGARE,SEM:GENGIERGARE,Gières,Gières Gare - Universités,True,45.18528,5.78458,SEM:C,1
SEM:MAYENCIN,SEM:GENMAYENCIN,Gières,Mayencin - Champ Roman,True,45.18491,5.77895,SEM:C,2
SEM:CONDIUNI,SEM:GENCONDIUNI,Saint-Martin-d'Hères,Condillac - Universités,True,45.18915,5.77445,SEM:C,3
SEM:BIBLIUNI,SEM:GENBIBLIUNI,Gières,Bibliothèques Universitaires,True,45.19246,5.7709,SEM:C,4
SEM:GABFAURE,SEM:GENGABFAURE,Saint-Martin-d'Hères,Gabriel Fauré,True,45.19228,5.7643,SEM:C,5
SEM:HBERLUNI,SEM:GENHBERLUNI,Saint-Martin-d'Hères,Hector Berlioz - Universités,True,45.19137,5.75866,SEM:C,6
SEM:NEYRBELL,SEM:GENNEYRBELL,Saint-Martin-d'Hères,Neyrpic - Belledonne,True,45.18669,5.75716,SEM:C,7
SEM:PERIBROS,SEM:GENPERIBROS,Saint-Martin-d'Hères,Péri - Brossolette,True,45.18771,5.75142,SEM:C,8
SEM:VALMY,SEM:GENVALMY,Grenoble,Flandrin - Valmy,True,45.18719,5.7448,SEM:C,9
SEM:GREHOTEL,SEM:GENGREHOTEL,Grenoble,Grenoble Hôtel de Ville,True,45.18746,5.73779,SEM:C,10
SEM:CHAVANT,SEM:GENCHAVANT,Grenoble,Chavant,True,45.18466,5.73177,SEM:C,11
SEM:GUSTRIVE,SEM:GENGUSTRIVE,Grenoble,Gustave Rivet,True,45.1817,5.72783,SEM:C,12
SEM:FOCHFERI,SEM:GENFOCHFERI,Grenoble,Foch - Ferrié,True,45.1808,5.72256,SEM:C,13
SEM:VALLIBE,SEM:GENVALLIBE,Grenoble,Vallier - Libération,True,45.18013,5.71608,SEM:C,14
SEM:DRCALME,SEM:GENDRCALME,Grenoble,Vallier - Docteur Calmette,True,45.18013,5.71077,SEM:C,15
SEM:VALLCATA,SEM:GENVALLCATA,Grenoble,Vallier - Catane,True,45.18002,5.70558,SEM:C,16
SEM:SEYHDV,SEM:GENSEYHDV,Seyssinet-Pariset,Seyssinet-Pariset Hôtel de Ville,True,45.18032,5.69707,SEM:C,17
SEM:FAUCONNI,SEM:GENFAUCONNI,Seyssinet-Pariset,Fauconnière,True,45.17651,5.69427,SEM:C,18
SEM:GRANDPRE,SEM:GENGRANDPRE,Seyssinet-Pariset,Grand Pré,True,45.17178,5.69424,SEM:C,19
SEM:MASDESIL,SEM:GENMASDESIL,Seyssins,Mas des Iles,True,45.16727,5.69424,SEM:C,20
SEM:PRISME,SEM:GENPRISME,Seyssins,Le Prisme,True,45.16639,5.69055,SEM:C,21
SEM:TAILLEES,SEM:GENTAILLEES,Saint-Martin-d'Hères,Les Taillées - Universités,True,45.19215,5.75784,SEM:C,22
SEM:TAILLEES,SEM:GENTAILLEES,Saint-Martin-d'Hères,Les Taillées - Universités,True,45.19215,5.75784,SEM:D,0
SEM:PLAINEDS,SEM:GENPLAINEDS,Gières,Plaine des Sports,True,45.18805,5.78421,SEM:D,1
SEM:GIERGARE,SEM:GENGIERGARE,Gières,Gières Gare - Universités,True,45.18528,5.78458,SEM:D,2
SEM:MAYENCIN,SEM:GENMAYENCIN,Gières,Mayencin - Champ Roman,True,45.18491,5.77895,SEM:D,3
SEM:CONDIUNI,SEM:GENCONDIUNI,Saint-Martin-d'Hères,Condillac - Universités,True,45.18915,5.77445,SEM:D,4
SEM:BIBLIUNI,SEM:GENBIBLIUNI,Gières,Bibliothèques Universitaires,True,45.19246,5.7709,SEM:D,5
SEM:GABFAURE,SEM:GENGABFAURE,Saint-Martin-d'Hères,Gabriel Fauré,True,45.19228,5.7643,SEM:D,6
SEM:HBERLUNI,SEM:GENHBERLUNI,Saint-Martin-d'Hères,Hector Berlioz - Universités,True,45.19137,5.75866,SEM:D,7
SEM:NEYRBELL,SEM:GENNEYRBELL,Saint-Martin-d'Hères,Neyrpic - Belledonne,True,45.18669,5.75716,SEM:D,8
SEM:MAISONCO,SEM:GENMAISONCO,Saint-Martin-d'Hères,Maison Communale,True,45.18412,5.75414,SEM:D,9
SEM:EDVAILLA,SEM:GENEDVAILLA,Saint-Martin-d'Hères,Edouard Vaillant,True,45.17902,5.75528,SEM:D,10
SEM:BLANCHON,SEM:GENBLANCHON,Saint-Martin-d'Hères,Parc Jo Blanchon,True,45.17585,5.75684,SEM:D,11
SEM:ETIEGRAP,SEM:GENETIEGRAP,Saint-Martin-d'Hères,Etienne Grappe,True,45.17213,5.75769,SEM:D,12
SEM:LMICHEL,SEM:GENLMICHEL,Grenoble,Louise Michel,True,45.16976,5.71287,SEM:E,0
SEM:ALLIES,SEM:GENALLIES,Grenoble,Alliés,True,45.17398,5.71427,SEM:E,1
SEM:VALLIBE,SEM:GENVALLIBE,Grenoble,Vallier - Libération,True,45.18013,5.71608,SEM:E,2
SEM:CONDORCE,SEM:GENCONDORCE,Grenoble,Condorcet,True,45.18553,5.71823,SEM:E,3
