route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
A,25863631,"Le Pont-de-Claix, L'Etoile",12345-MEILVI02_ST21_2_HI2122,0,SEM_A_3,1,2
E,26335947,"Fontanil-Cornillon, Palluel",1234567-MGHS05_ST5_5_HI2122,1,SEM_E_5,1,2
D,25718650,"Saint-Martin-d'Hères, Les Taillées - Universités",1234567-MGHS01_ST5_1_HI2122-MGHS04_ST5_4_HI2122-MGHS05_ST5_5_HI2122,0,SEM_D_4,1,2
C,26368306,"Saint-Martin-d'Hères, Condillac - Universités",12345-MGHLV20_ST0_20_HI2122,0,SEM_C_1,1,2
1,26308145,"Grenoble, Cité Jean Macé",12345-MSILV02_ST21_2_HI2122,1,SEM_C1_4,1,2
C,26236739,"Seyssins, Le Prisme",12345-MGHLV19_ST0_19_HI2122,1,SEM_C_2,1,2
B,26107252,"Gières, Plaine des Sports",12345-MGHLV16_ST0_16_HI2122-MGHLV21_ST0_21_HI2122,0,SEM_B_1,1,2
B,26107151,"Grenoble, Oxford",12345-MGHLV16_ST0_16_HI2122-MGHLV21_ST0_21_HI2122,1,SEM_B_2,1,2
20,25700435,"Seyssinet-Pariset, Seyssinet-Pariset Hôtel de Ville",1234567-MSHSAH03_ST5_3_HI2122-MSHSAH05_ST5_5_HI2122-MSHSAH06_ST5_6_HI2122,0,SEM_20_3,1,2
D,25811145,"Saint-Martin-d'Hères, Les Taillées - Universités",12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,0,SEM_D_4,1,2
1,26028789,"Meylan, Maupertuis",12345-MSILV01_ST21_1_HI2122,0,SEM_C1_2,1,2
A,26351467,"Le Pont-de-Claix, L'Etoile",12345-MEILVI03_ST21_3_HI2122,0,SEM_A_3,1,2
42,25832419,"Meylan, La Détourbe",12345-MFHLV10c_ST0_10_HI2122,1,SEM_42_1,1,2
5,26319280,"Grenoble, Palais de Justice - Gare",1234567-MSHSAH06_ST5_6_HI2122,0,SEM_C5_1,1,2
B,26354878,"Grenoble, Oxford",12345-MGHLV20_ST0_20_HI2122,1,SEM_B_2,1,2
E,25947223,"Fontanil-Cornillon, Palluel",12345-MGHLV19_ST0_19_HI2122,1,SEM_E_1,1,2
1,25713234,"Grenoble, Cité Jean Macé",1234567-MSHSAH05_ST5_5_HI2122,1,SEM_C1_4,1,2
3,25632156,"Grenoble, Victor Hugo",1234567-MEHD00_ST6_0_HI2122,0,SEM_C3_1,1,2
46,25635656,"Saint-Paul-de-Varces, Place",1234567-MFHS03_ST5_3_HI2122,0,SEM_46_5,1,2
12,25634548,"Saint-Martin-d'Hères, Les Alloves",1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS04_ST5_4_HI2122-MEHS05_ST5_5_HI2122,1,SEM_12_1,1,2
67,25485519,"Grenoble, Grand'place",12345-MFHLV10c_ST0_10_HI2122,0,SEM_67_2,1,2
5,26306426,"Gières, Universités - Biologie",12345-MSILV01_ST21_1_HI2122,1,SEM_C5_2,1,2
13,26155097,"Meylan, Lycée du Grésivaudan",12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,1,SEM_13_2,1,2
21,26077783,"Claix, Pont Rouge",12345-MAHLV04_ST0_4_HI2122,0,SEM_21_1,1,2
60,25805885,"Saint-Égrève, Muret",**3**-MFHLV10c_ST0_10_HI2122,0,SEM_60_1,1,2
45,26270114,"Varces-Allières-et-Risset, Rond-Point de l'Europe",12345-MFVLV02c_ST21_2_HI2122,0,SEM_45_4,1,2
7,25786198,"Gières, Universités - Biologie",1234567-MSHDF02_ST6_2_HI2122,0,SEM_C7_1,1,2
1,26304719,"Grenoble, Cité Jean Macé",12345-MSHLVH05_ST8_5_HI2122-MSHLW05_ST11_5_HI2122,1,SEM_C1_1,1,2
1,26090338,"Montbonnot-Saint-Martin, Pré de l'Eau",1234567-MSHSAH03_ST5_3_HI2122,0,SEM_C1_6,1,2
