gtfsId,id,code,city,name,lat,lon,clusterGtfsId,cluster,line_id,way_order
SEM:3393,SEM:3393,3393,Le Pont-de-Claix,L'Etoile,45.13782,5.70371,LETOILE,SEM:GENLETOILE,SEM:A,0
SEM:4381,SEM:4381,4381,Le Pont-de-Claix,Edmée Chandon,45.13672,5.70816,CHANDON,SEM:GENCHANDON,SEM:A,1
SEM:2074,SEM:2074,2074,Échirolles,Denis Papin,45.13831,5.71313,DENPAPIN,SEM:GENDENPAPIN,SEM:A,2
SEM:2072,SEM:2072,2072,Échirolles,Auguste Delaune,45.1425,5.71536,ADELAUNE,SEM:GENADELAUNE,SEM:A,3
SEM:2070,SEM:2070,2070,Échirolles,Marie Curie,45.14571,5.71718,MARIECUR,SEM:GENMARIECUR,SEM:A,4
SEM:2068,SEM:2068,2068,Échirolles,La Rampe - Centre-Ville,45.14879,5.71796,RAMPE,SEM:GENRAMPE,SEM:A,5
SEM:2207,SEM:2207,2207,Échirolles,Echirolles Gare,45.15302,5.7185,ECHIGARE,SEM:GENECHIGARE,SEM:A,6
SEM:2066,SEM:2066,2066,Échirolles,Essarts - La Butte,45.15588,5.71918,ESSARTS,SEM:GENESSARTS,SEM:A,7
SEM:2064,SEM:2064,2064,Échirolles,Surieux,45.15839,5.72187,SURIEUX,SEM:GENSURIEUX,SEM:A,8
SEM:2062,SEM:2062,2062,Échirolles,Les Granges,45.15692,5.7278,GRANGES,SEM:GENGRANGES,SEM:A,9
SEM:2060,SEM:2060,2060,Grenoble,Polesud - Alpexpo,45.15729,5.73295,POLESUD,SEM:GENPOLESUD,SEM:A,10
SEM:2212,SEM:2212,2212,Grenoble,Grand'place,45.15909,5.73192,GRDPLACE,SEM:GENGRDPLACE,SEM:A,11
SEM:2004,SEM:2004,2004,Grenoble,Arlequin,45.16359,5.73056,ARLEQUIN,SEM:GENARLEQUIN,SEM:A,12
SEM:2006,SEM:2006,2006,Grenoble,La Bruyère-Parc Jean Verlhac,45.16632,5.73124,BRUYERE,SEM:GENBRUYERE,SEM:A,13
SEM:2008,SEM:2008,2008,Grenoble,Malherbe,45.16947,5.73227,MALHERBE,SEM:GENMALHERBE,SEM:A,14
SEM:2010,SEM:2010,2010,Grenoble,MC2: Maison de la Culture,45.17347,5.73206,MAICULTU,SEM:GENMAICULTU,SEM:A,15
SEM:2012,SEM:2012,2012,Grenoble,Mounier,45.17899,5.73186,MOUNIER,SEM:GENMOUNIER,SEM:A,16
SEM:2014,SEM:2014,2014,Grenoble,Albert 1er de Belgique,45.18177,5.73173,ALB1BELG,SEM:GENALB1BELG,SEM:A,17
SEM:2254,SEM:2254,2254,Grenoble,Chavant,45.18466,5.73178,CHAVANT,SEM:GENCHAVANT,SEM:A,18
SEM:2018,SEM:2018,2018,Grenoble,Verdun - Préfecture,45.18832,5.73152,VERDUN,SEM:GENVERDUN,SEM:A,19
SEM:2020,SEM:2020,2020,Grenoble,Hubert Dubedout - Maison du Tourisme,45.19023,5.72822,DUBEDOUT,SEM:GENDUBEDOUT,SEM:A,20
SEM:2213,SEM:2213,2213,Grenoble,Victor Hugo,45.18978,5.72494,VICTHUGO,SEM:GENVICTHUGO,SEM:A,21
SEM:2026,SEM:2026,2026,Grenoble,Alsace-Lorraine,45.1895,5.71999,ALSACELO,SEM:GENALSACELO,SEM:A,22
SEM:2214,SEM:2214,2214,Grenoble,Gares,45.18996,5.7151,GARES,SEM:GENGARES,SEM:A,23
SEM:2030,SEM:2030,2030,Grenoble,Saint-Bruno,45.18838,5.71343,STBRUNO,SEM:GENSTBRUNO,SEM:A,24
SEM:2032,SEM:2032,2032,Grenoble,Berriat-Le Magasin,45.1888,5.70652,BERRIAT,SEM:GENBERRIAT,SEM:A,25
SEM:2034,SEM:2034,2034,Fontaine,Les Fontainades - Le Vog,45.18914,5.69845,FONTAINA,SEM:GENFONTAINA,SEM:A,26
SEM:2036,SEM:2036,2036,Fontaine,Louis Maisonnat,45.18923,5.69401,MAISONNA,SEM:GENMAISONNA,SEM:A,27
SEM:2038,SEM:2038,2038,Fontaine,Fontaine Hôtel de Ville - La Source,45.19138,5.68729,FONTAHDV,SEM:GENFONTAHDV,SEM:A,28
SEM:2040,SEM:2040,2040,Fontaine,Charles Michels,45.1939,5.6801,CHARLMIC,SEM:GENCHARLMIC,SEM:A,29
SEM:2215,SEM:2215,2215,Fontaine,La Poya,45.19712,5.67226,LAPOYA,SEM:GENLAPOYA,SEM:A,30
SEM:2218,SEM:2218,2218,Grenoble,Grand'place,45.15901,5.73258,GRDPLACE,SEM:GENGRDPLACE,SEM:A,31
SEM:2061,SEM:2061,2061,Grenoble,Polesud - Alpexpo,45.15734,5.73296,POLESUD,SEM:GENPOLESUD,SEM:A,32
SEM:2063,SEM:2063,2063,Échirolles,Les Granges,45.15696,5.72781,GRANGES,SEM:GENGRANGES,SEM:A,33
SEM:2065,SEM:2065,2065,Échirolles,Surieux,45.15845,5.72192,SURIEUX,SEM:GENSURIEUX,SEM:A,34
SEM:2067,SEM:2067,2067,Échirolles,Essarts - La Butte,45.15588,5.71909,ESSARTS,SEM:GENESSARTS,SEM:A,35
