id,gtfsId,shortName,longName,color,textColor,mode,type
SEM:A,SEM:A,A,FONTAINE La Poya / PONT DE CLAIX  L'Etoile,3376B8,FFFFFF,TRAM,TRAM
SEM:B,SEM:B,B,GRENOBLE OXFORD / GIÈRES Plaine des Sports,479A45,FFFFFF,TRAM,TRAM
SEM:C,SEM:C,C,SAINT-MARTIN-D’HÈRES Condillac - Universités / SEYSSINS Le Prisme,C20078,FFFFFF,TRAM,TRAM
SEM:D,SEM:D,D,SAINT-MARTIN-D’HÈRES Etienne Grappe / SAINT-MARTIN-D’HÈRES Les Taillées - Universités,DE9917,FFFFFF,TRAM,TRAM
SEM:E,SEM:E,E,FONTANIL-CORNILLON Palluel / GRENOBLE Louise Michel,533786,FFFFFF,TRAM,TRAM
SEM:83,SEM:83,83,Bus Relais C,C20078,FFFFFF,BUS,NAVETTE
SEM:84,SEM:84,84,Bus Relais D,DE9917,FFFFFF,BUS,NAVETTE
SEM:85,SEM:85,85,Bus Relais E,533786,FFFFFF,BUS,NAVETTE
SEM:C1,SEM:1,C1,GRENOBLE Cité Jean Macé / MEYLAN Maupertuis / MONTBONNOT-SAINT- MARTIN Pré de l'Eau,FDEA00,000000,BUS,CHRONO
SEM:C2,SEM:2,C2,GRENOBLE Louise Michel / CLAIX Pont Rouge,F1D04C,000000,BUS,CHRONO
SEM:C3,SEM:3,C3,GRENOBLE Victor Hugo / ÉCHIROLLES Centre du Graphisme,DB9325,000000,BUS,CHRONO
SEM:C4,SEM:4,C4,GRENOBLE Victor Hugo / EYBENS Le Verderet,F3D000,000000,BUS,CHRONO
SEM:C5,SEM:5,C5,GRENOBLE Palais de Justice - Gare / GIÈRES Universités - Biologie,E5AD34,000000,BUS,CHRONO
SEM:C6,SEM:6,C6,GRENOBLE Oxford / SAINT-MARTIN-D'HÈRES Henri Wallon,FDEA00,000000,BUS,CHRONO
SEM:C7,SEM:7,C7,ÉCHIROLLES Comboire / GIÈRES Universités - Biologie / GIÈRES Universités - IUT - UFRAPS,F3D92F,000000,BUS,CHRONO
SEM:12,SEM:12,12,EYBENS Maisons Neuves / SAINT-MARTIN-D'HÈRES Les Alloves,399645,FFFFFF,BUS,PROXIMO
SEM:13,SEM:13,13,MEYLAN Lycée du Grésivaudan / Cimetière Intercommunal,6BB2B3,FFFFFF,BUS,PROXIMO
SEM:14,SEM:14,14,GRENOBLE Verdun - Préfecture / GIÈRES Gare - Universités,C4BE00,FFFFFF,BUS,PROXIMO
SEM:15,SEM:15,15,GRENOBLE Verdun - Préfecture / DOMÈNE Chenevières / DOMÈNE Les Arnauds,86BB96,FFFFFF,BUS,PROXIMO
SEM:16,SEM:16,16,MEYLAN Lycée du Grésivaudan / CORENC Montfleury / PONT-DE-CLAIX Gendarmerie,809CC8,FFFFFF,BUS,PROXIMO
SEM:19,SEM:19,19,SASSENAGE L’Ovalie / SEYSSINS Garlettes,809CC8,FFFFFF,BUS,PROXIMO
SEM:20,SEM:20,20,SEYSSINET-PARISET Hôtel de Ville / SASSENAGE Les Engenières / VEUREY-VOROIZE La Rive,70B6D5,FFFFFF,BUS,PROXIMO
SEM:21,SEM:21,21,SEYSSINS Le Prisme / CLAIX Pont Rouge,70B6D5,FFFFFF,BUS,PROXIMO
SEM:22,SEM:22,22,GRENOBLE Oxford / SAINT-ÉGRÈVE Gare,70B6D5,FFFFFF,BUS,PROXIMO
SEM:23,SEM:23,23,VIZILLE Le Péage / SAINT-MARTIN-D'HÈRES Bibliothèques Universitaire,70B6D5,FFFFFF,BUS,PROXIMO
SEM:25,SEM:25,25,GRENOBLE Colonel Dumont / LE GUA Les Saillants,9DC44D,FFFFFF,BUS,PROXIMO
