cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
VERDUN - PREFECTURE,En tram,247.70123934490016,down,ALL,ALL,ALL,ligne-14
BIR HAKEIM,En tram,0.0,down,ALL,ALL,ALL,ligne-14
FLANDRIN - VALMY,En tram,51.747565654800006,down,ALL,ALL,ALL,ligne-14
CROIX ROUGE,En tram,0.0,down,ALL,ALL,ALL,ligne-14
GAY,En tram,0.0,down,ALL,ALL,ALL,ligne-14
MAISON COMMUNALE,En tram,23.550857324399995,down,ALL,ALL,ALL,ligne-14
CITE LABEYE,En tram,0.0,down,ALL,ALL,ALL,ligne-14
PORTAIL ROUGE,En tram,0.0,down,ALL,ALL,ALL,ligne-14
COLI,En tram,0.0,down,ALL,ALL,ALL,ligne-14
ELSA TRIOLET,En tram,0.0,down,ALL,ALL,ALL,ligne-14
GALOCHERE,En tram,0.0,down,ALL,ALL,ALL,ligne-14
ANGUISSES,En tram,0.0,down,ALL,ALL,ALL,ligne-14
ROSERAIE,En tram,0.0,down,ALL,ALL,ALL,ligne-14
EDELWEISS,En tram,0.0,down,ALL,ALL,ALL,ligne-14
GIERES GARE - UNIVERSITES (TRAM),En tram,21.036316690199993,down,ALL,ALL,ALL,ligne-14
VERDUN - PREFECTURE,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-14
BIR HAKEIM,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-14
FLANDRIN - VALMY,Mode non précisé,2.3234592857,down,ALL,ALL,ALL,ligne-14
CROIX ROUGE,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-14
GAY,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-14
MAISON COMMUNALE,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-14
CITE LABEYE,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-14
PORTAIL ROUGE,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-14
COLI,Mode non précisé,1.4005838621,down,ALL,ALL,ALL,ligne-14
ELSA TRIOLET,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-14
GALOCHERE,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-14
ANGUISSES,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-14
ROSERAIE,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-14
EDELWEISS,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-14
GIERES GARE - UNIVERSITES (TRAM),Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-14
