cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
PRESQU'ILE,En voiture garée à proximité,1.1666666667,down,ALL,ALL,ALL,ligne-c6
MARTYRS - RESISTANCE,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
CHAMECHAUDE,En voiture garée à proximité,4.614735459,down,ALL,ALL,ALL,ligne-c6
LA SURE,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
SAINT-EYNARD (FONTAINE),En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
CHARMETTES,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
RUE PASTEUR,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
CURIE - VERCORS,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
LOUIS MAISONNAT,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
ARISTIDE BERGES,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
LES ILES,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
SEYSSINET-PARISET HOTEL DE VILLE,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
L'ARCHE,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
BEAU SITE (SEYSSINET),En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
LA PLAINE,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
GRAND PRE - CENTRE SUD,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
TUILERIE,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
LE PRISME,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
SEYSSINS RONDEAU,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
LE RONDEAU,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
STADE LESDIGUIERES,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
VERLAINE,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
MAISON DES ANCIENS,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
EDMOND ESMONIN,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
GRAND'PLACE,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
RAYMOND CHANAS,En voiture garée à proximité,2.0384,down,ALL,ALL,ALL,ligne-c6
COLLEGE DES SAULES,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
GENERAL DE GAULLE,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
LA CHATELIERE,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
LE MARAIS,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
CHOPIN,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
ZELLA MELHIS,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
8 MAI 1945,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
ETIENNE GRAPPE,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
PABLO NERUDA,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
HENRI WALLON,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c6
PRESQU'ILE,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
MARTYRS - RESISTANCE,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
CHAMECHAUDE,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
LA SURE,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
SAINT-EYNARD (FONTAINE),En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
CHARMETTES,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
RUE PASTEUR,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
CURIE - VERCORS,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
LOUIS MAISONNAT,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
ARISTIDE BERGES,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
LES ILES,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
SEYSSINET-PARISET HOTEL DE VILLE,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
L'ARCHE,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
BEAU SITE (SEYSSINET),En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
LA PLAINE,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
GRAND PRE - CENTRE SUD,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
TUILERIE,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
LE PRISME,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
SEYSSINS RONDEAU,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
LE RONDEAU,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
STADE LESDIGUIERES,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
VERLAINE,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
MAISON DES ANCIENS,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
EDMOND ESMONIN,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
GRAND'PLACE,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
RAYMOND CHANAS,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
COLLEGE DES SAULES,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
GENERAL DE GAULLE,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
LA CHATELIERE,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
LE MARAIS,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c6
