cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
DENIS PAPIN,En tram,0.0,down,ALL,ALL,ALL,tram-a
AUGUSTE DELAUNE,En tram,0.0,down,ALL,ALL,ALL,tram-a
MARIE CURIE,En tram,0.0,down,ALL,ALL,ALL,tram-a
LA RAMPE - CENTRE-VILLE,En tram,0.0,down,ALL,ALL,ALL,tram-a
GARE (ECHIROLLES),En tram,0.0,down,ALL,ALL,ALL,tram-a
ESSARTS - LA BUTTE,En tram,0.0,down,ALL,ALL,ALL,tram-a
SURIEUX,En tram,0.0,down,ALL,ALL,ALL,tram-a
LES GRANGES,En tram,0.0,down,ALL,ALL,ALL,tram-a
POLESUD - ALPEXPO,En tram,0.0,down,ALL,ALL,ALL,tram-a
GRAND'PLACE,En tram,0.0,down,ALL,ALL,ALL,tram-a
ARLEQUIN,En tram,0.0,down,ALL,ALL,ALL,tram-a
LA BRUYERE,En tram,0.0,down,ALL,ALL,ALL,tram-a
MALHERBE,En tram,0.0,down,ALL,ALL,ALL,tram-a
MC2: MAISON DE LA CULTURE,En tram,0.0,down,ALL,ALL,ALL,tram-a
MOUNIER,En tram,0.0,down,ALL,ALL,ALL,tram-a
ALBERT 1ER DE BELGIQUE,En tram,23.576077802300002,down,ALL,ALL,ALL,tram-a
CHAVANT,En tram,3318.3690227848847,down,ALL,ALL,ALL,tram-a
VERDUN - PREFECTURE,En tram,0.0,down,ALL,ALL,ALL,tram-a
HUBERT DUBEDOUT - MAISON DU TOURISME,En tram,1628.0595827495065,down,ALL,ALL,ALL,tram-a
VICTOR HUGO,En tram,253.4968503421001,down,ALL,ALL,ALL,tram-a
ALSACE-LORRAINE,En tram,1912.3551374687997,down,ALL,ALL,ALL,tram-a
GARES,En tram,389.7122306821997,down,ALL,ALL,ALL,tram-a
SAINT-BRUNO (TRAM),En tram,527.5101048197998,down,ALL,ALL,ALL,tram-a
BERRIAT-LE MAGASIN,En tram,0.0,down,ALL,ALL,ALL,tram-a
LES FONTAINADES - LE VOG,En tram,0.0,down,ALL,ALL,ALL,tram-a
LOUIS MAISONNAT,En tram,0.0,down,ALL,ALL,ALL,tram-a
FONTAINE HOTEL DE VILLE - LA SOURCE,En tram,0.0,down,ALL,ALL,ALL,tram-a
CHARLES MICHELS,En tram,0.0,down,ALL,ALL,ALL,tram-a
LA POYA,En tram,0.0,down,ALL,ALL,ALL,tram-a
DENIS PAPIN,Mode non précisé,4.6150185714,down,ALL,ALL,ALL,tram-a
AUGUSTE DELAUNE,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-a
MARIE CURIE,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-a
LA RAMPE - CENTRE-VILLE,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-a
GARE (ECHIROLLES),Mode non précisé,5.6021129164,down,ALL,ALL,ALL,tram-a
ESSARTS - LA BUTTE,Mode non précisé,5.5497885869,down,ALL,ALL,ALL,tram-a
SURIEUX,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-a
LES GRANGES,Mode non précisé,5.035667736,down,ALL,ALL,ALL,tram-a
POLESUD - ALPEXPO,Mode non précisé,4.676709609,down,ALL,ALL,ALL,tram-a
GRAND'PLACE,Mode non précisé,13.1043576565,down,ALL,ALL,ALL,tram-a
ARLEQUIN,Mode non précisé,18.3402130267,down,ALL,ALL,ALL,tram-a
LA BRUYERE,Mode non précisé,17.5342987262,down,ALL,ALL,ALL,tram-a
MALHERBE,Mode non précisé,3.8026186957,down,ALL,ALL,ALL,tram-a
MC2: MAISON DE LA CULTURE,Mode non précisé,15.138933089,down,ALL,ALL,ALL,tram-a
MOUNIER,Mode non précisé,1.9512433169,down,ALL,ALL,ALL,tram-a
ALBERT 1ER DE BELGIQUE,Mode non précisé,10.482314868,down,ALL,ALL,ALL,tram-a
CHAVANT,Mode non précisé,10.8645851913,down,ALL,ALL,ALL,tram-a
VERDUN - PREFECTURE,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-a
HUBERT DUBEDOUT - MAISON DU TOURISME,Mode non précisé,16.7488494642,down,ALL,ALL,ALL,tram-a
VICTOR HUGO,Mode non précisé,11.5374212435,down,ALL,ALL,ALL,tram-a
ALSACE-LORRAINE,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-a
GARES,Mode non précisé,35.43706905369999,down,ALL,ALL,ALL,tram-a
SAINT-BRUNO (TRAM),Mode non précisé,0.0,down,ALL,ALL,ALL,tram-a
BERRIAT-LE MAGASIN,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-a
LES FONTAINADES - LE VOG,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-a
LOUIS MAISONNAT,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-a
FONTAINE HOTEL DE VILLE - LA SOURCE,Mode non précisé,4.2265098642,down,ALL,ALL,ALL,tram-a
CHARLES MICHELS,Mode non précisé,3.8696178798,down,ALL,ALL,ALL,tram-a
LA POYA,Mode non précisé,7.3457736573000005,down,ALL,ALL,ALL,tram-a
DENIS PAPIN,Déposé en voiture,32.275085029,down,ALL,ALL,ALL,tram-a
AUGUSTE DELAUNE,Déposé en voiture,9.4903359857,down,ALL,ALL,ALL,tram-a
MARIE CURIE,Déposé en voiture,3.982495,down,ALL,ALL,ALL,tram-a
LA RAMPE - CENTRE-VILLE,Déposé en voiture,15.278445039000001,down,ALL,ALL,ALL,tram-a
GARE (ECHIROLLES),Déposé en voiture,34.27146409,down,ALL,ALL,ALL,tram-a
ESSARTS - LA BUTTE,Déposé en voiture,20.007403226599997,down,ALL,ALL,ALL,tram-a
SURIEUX,Déposé en voiture,0.0,down,ALL,ALL,ALL,tram-a
LES GRANGES,Déposé en voiture,11.9498791213,down,ALL,ALL,ALL,tram-a
POLESUD - ALPEXPO,Déposé en voiture,32.6258626336,down,ALL,ALL,ALL,tram-a
GRAND'PLACE,Déposé en voiture,45.283447187099995,down,ALL,ALL,ALL,tram-a
ARLEQUIN,Déposé en voiture,17.7831039239,down,ALL,ALL,ALL,tram-a
LA BRUYERE,Déposé en voiture,18.596324200599998,down,ALL,ALL,ALL,tram-a
MALHERBE,Déposé en voiture,21.7514212964,down,ALL,ALL,ALL,tram-a
MC2: MAISON DE LA CULTURE,Déposé en voiture,8.5843599216,down,ALL,ALL,ALL,tram-a
MOUNIER,Déposé en voiture,14.9033686884,down,ALL,ALL,ALL,tram-a
ALBERT 1ER DE BELGIQUE,Déposé en voiture,39.88878976869999,down,ALL,ALL,ALL,tram-a
CHAVANT,Déposé en voiture,58.246878555400016,down,ALL,ALL,ALL,tram-a
VERDUN - PREFECTURE,Déposé en voiture,36.361418422999996,down,ALL,ALL,ALL,tram-a
HUBERT DUBEDOUT - MAISON DU TOURISME,Déposé en voiture,15.2768925906,down,ALL,ALL,ALL,tram-a
VICTOR HUGO,Déposé en voiture,16.3783906995,down,ALL,ALL,ALL,tram-a
ALSACE-LORRAINE,Déposé en voiture,40.1686470657,down,ALL,ALL,ALL,tram-a
GARES,Déposé en voiture,46.63770581150001,down,ALL,ALL,ALL,tram-a
SAINT-BRUNO (TRAM),Déposé en voiture,7.2375248111,down,ALL,ALL,ALL,tram-a
BERRIAT-LE MAGASIN,Déposé en voiture,19.7072745607,down,ALL,ALL,ALL,tram-a
LES FONTAINADES - LE VOG,Déposé en voiture,6.356850775,down,ALL,ALL,ALL,tram-a
LOUIS MAISONNAT,Déposé en voiture,26.9277070721,down,ALL,ALL,ALL,tram-a
FONTAINE HOTEL DE VILLE - LA SOURCE,Déposé en voiture,21.320383092900002,down,ALL,ALL,ALL,tram-a
CHARLES MICHELS,Déposé en voiture,17.0173186725,down,ALL,ALL,ALL,tram-a
LA POYA,Déposé en voiture,104.14213108320001,down,ALL,ALL,ALL,tram-a
DENIS PAPIN,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
AUGUSTE DELAUNE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
MARIE CURIE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
LA RAMPE - CENTRE-VILLE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
GARE (ECHIROLLES),En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
ESSARTS - LA BUTTE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
SURIEUX,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
LES GRANGES,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
POLESUD - ALPEXPO,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
GRAND'PLACE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
ARLEQUIN,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
LA BRUYERE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
MALHERBE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
MC2: MAISON DE LA CULTURE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
MOUNIER,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
ALBERT 1ER DE BELGIQUE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
CHAVANT,En car Transisère,49.20782133690001,down,ALL,ALL,ALL,tram-a
VERDUN - PREFECTURE,En car Transisère,136.2307853308,down,ALL,ALL,ALL,tram-a
HUBERT DUBEDOUT - MAISON DU TOURISME,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
VICTOR HUGO,En car Transisère,41.7506984788,down,ALL,ALL,ALL,tram-a
ALSACE-LORRAINE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
GARES,En car Transisère,65.496792735,down,ALL,ALL,ALL,tram-a
SAINT-BRUNO (TRAM),En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
BERRIAT-LE MAGASIN,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
LES FONTAINADES - LE VOG,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
LOUIS MAISONNAT,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
FONTAINE HOTEL DE VILLE - LA SOURCE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
CHARLES MICHELS,En car Transisère,0.0,down,ALL,ALL,ALL,tram-a
LA POYA,En car Transisère,58.15950465350002,down,ALL,ALL,ALL,tram-a
DENIS PAPIN,A pied,1848.9209780606045,down,ALL,ALL,ALL,tram-a
AUGUSTE DELAUNE,A pied,942.1059032249999,down,ALL,ALL,ALL,tram-a
