cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
PLAINE DES SPORTS,En vélo,3.6500224842,down,ALL,ALL,ALL,tram-b
GIERES GARE - UNIVERSITES (TRAM),En vélo,5.6730626817,down,ALL,ALL,ALL,tram-b
MAYENCIN - CHAMP ROMAN,En vélo,0.0,down,ALL,ALL,ALL,tram-b
CONDILLAC - UNIVERSITES,En vélo,14.955382510000002,down,ALL,ALL,ALL,tram-b
BIBLIOTHEQUES UNIVERSITAIRES,En vélo,9.2830393627,down,ALL,ALL,ALL,tram-b
GABRIEL FAURE,En vélo,14.6580890786,down,ALL,ALL,ALL,tram-b
LES TAILLEES - UNIVERSITES,En vélo,10.330693999500001,down,ALL,ALL,ALL,tram-b
GRAND SABLON,En vélo,7.3618459009,down,ALL,ALL,ALL,tram-b
MICHALLON,En vélo,21.1061400418,down,ALL,ALL,ALL,tram-b
LA TRONCHE HOPITAL,En vélo,7.254925067,down,ALL,ALL,ALL,tram-b
ILE VERTE,En vélo,9.2080589537,down,ALL,ALL,ALL,tram-b
NOTRE-DAME - MUSEE,En vélo,11.8972068666,down,ALL,ALL,ALL,tram-b
SAINTE-CLAIRE - LES HALLES,En vélo,16.0711819862,down,ALL,ALL,ALL,tram-b
HUBERT DUBEDOUT - MAISON DU TOURISME,En vélo,6.010053153,down,ALL,ALL,ALL,tram-b
VICTOR HUGO,En vélo,0.0,down,ALL,ALL,ALL,tram-b
ALSACE-LORRAINE,En vélo,19.1365469377,down,ALL,ALL,ALL,tram-b
GARES,En vélo,15.194294046900001,down,ALL,ALL,ALL,tram-b
SAINT-BRUNO (TRAM),En vélo,24.077084186999997,down,ALL,ALL,ALL,tram-b
PALAIS DE JUSTICE,En vélo,7.0819401543,down,ALL,ALL,ALL,tram-b
CITE INTERNATIONALE,En vélo,9.8967505799,down,ALL,ALL,ALL,tram-b
CEA - CAMBRIDGE,En vélo,20.6277135643,down,ALL,ALL,ALL,tram-b
PRESQU'ILE,En vélo,4.9832477012,down,ALL,ALL,ALL,tram-b
PLAINE DES SPORTS,En tram,0.0,down,ALL,ALL,ALL,tram-b
GIERES GARE - UNIVERSITES (TRAM),En tram,0.0,down,ALL,ALL,ALL,tram-b
MAYENCIN - CHAMP ROMAN,En tram,0.0,down,ALL,ALL,ALL,tram-b
CONDILLAC - UNIVERSITES,En tram,78.1296196842,down,ALL,ALL,ALL,tram-b
BIBLIOTHEQUES UNIVERSITAIRES,En tram,28.960164404100002,down,ALL,ALL,ALL,tram-b
GABRIEL FAURE,En tram,120.88125198339995,down,ALL,ALL,ALL,tram-b
LES TAILLEES - UNIVERSITES,En tram,345.18669480279976,down,ALL,ALL,ALL,tram-b
GRAND SABLON,En tram,0.0,down,ALL,ALL,ALL,tram-b
MICHALLON,En tram,0.0,down,ALL,ALL,ALL,tram-b
LA TRONCHE HOPITAL,En tram,0.0,down,ALL,ALL,ALL,tram-b
ILE VERTE,En tram,0.0,down,ALL,ALL,ALL,tram-b
NOTRE-DAME - MUSEE,En tram,0.0,down,ALL,ALL,ALL,tram-b
SAINTE-CLAIRE - LES HALLES,En tram,0.0,down,ALL,ALL,ALL,tram-b
HUBERT DUBEDOUT - MAISON DU TOURISME,En tram,1432.2984874181996,down,ALL,ALL,ALL,tram-b
VICTOR HUGO,En tram,253.71707295360002,down,ALL,ALL,ALL,tram-b
ALSACE-LORRAINE,En tram,2383.9376124591904,down,ALL,ALL,ALL,tram-b
GARES,En tram,275.1162771909,down,ALL,ALL,ALL,tram-b
SAINT-BRUNO (TRAM),En tram,1085.8025829874996,down,ALL,ALL,ALL,tram-b
PALAIS DE JUSTICE,En tram,0.0,down,ALL,ALL,ALL,tram-b
CITE INTERNATIONALE,En tram,0.0,down,ALL,ALL,ALL,tram-b
CEA - CAMBRIDGE,En tram,0.0,down,ALL,ALL,ALL,tram-b
PRESQU'ILE,En tram,0.0,down,ALL,ALL,ALL,tram-b
PLAINE DES SPORTS,A pied,218.06003918860003,down,ALL,ALL,ALL,tram-b
GIERES GARE - UNIVERSITES (TRAM),A pied,1301.4080659628034,down,ALL,ALL,ALL,tram-b
MAYENCIN - CHAMP ROMAN,A pied,471.46308929559945,down,ALL,ALL,ALL,tram-b
CONDILLAC - UNIVERSITES,A pied,2632.89950198579,down,ALL,ALL,ALL,tram-b
BIBLIOTHEQUES UNIVERSITAIRES,A pied,5132.304163190216,down,ALL,ALL,ALL,tram-b
GABRIEL FAURE,A pied,3544.3729514289366,down,ALL,ALL,ALL,tram-b
LES TAILLEES - UNIVERSITES,A pied,4089.8964696418157,down,ALL,ALL,ALL,tram-b
GRAND SABLON,A pied,2680.923977043308,down,ALL,ALL,ALL,tram-b
MICHALLON,A pied,3289.693290763022,down,ALL,ALL,ALL,tram-b
LA TRONCHE HOPITAL,A pied,2421.6246837945114,down,ALL,ALL,ALL,tram-b
ILE VERTE,A pied,3704.8414638085783,down,ALL,ALL,ALL,tram-b
NOTRE-DAME - MUSEE,A pied,4396.161456868591,down,ALL,ALL,ALL,tram-b
SAINTE-CLAIRE - LES HALLES,A pied,3254.9239703607855,down,ALL,ALL,ALL,tram-b
HUBERT DUBEDOUT - MAISON DU TOURISME,A pied,5029.924185503502,down,ALL,ALL,ALL,tram-b
VICTOR HUGO,A pied,4854.212010201517,down,ALL,ALL,ALL,tram-b
ALSACE-LORRAINE,A pied,4952.486072346405,down,ALL,ALL,ALL,tram-b
GARES,A pied,2592.985890804804,down,ALL,ALL,ALL,tram-b
SAINT-BRUNO (TRAM),A pied,3663.0246119211233,down,ALL,ALL,ALL,tram-b
PALAIS DE JUSTICE,A pied,2888.5618619227944,down,ALL,ALL,ALL,tram-b
CITE INTERNATIONALE,A pied,2765.6284397641966,down,ALL,ALL,ALL,tram-b
CEA - CAMBRIDGE,A pied,1877.9589025993002,down,ALL,ALL,ALL,tram-b
PRESQU'ILE,A pied,1636.4141950573005,down,ALL,ALL,ALL,tram-b
