cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
CONDILLAC - UNIVERSITES,En bus TAG,0.0,down,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,En bus TAG,26.122741556599998,down,ALL,ALL,ALL,tram-c
GABRIEL FAURE,En bus TAG,0.0,down,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,En bus TAG,0.0,down,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,En bus TAG,119.08940690840002,down,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,En bus TAG,0.0,down,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,En bus TAG,87.8027676515,down,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),En bus TAG,235.5352702915,down,ALL,ALL,ALL,tram-c
CHAVANT,En bus TAG,489.3731286126007,down,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,En bus TAG,124.7651845507,down,ALL,ALL,ALL,tram-c
FOCH - FERRIE,En bus TAG,448.5649800541004,down,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,En bus TAG,26.584113282800004,down,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,En bus TAG,70.1408377691,down,ALL,ALL,ALL,tram-c
VALLIER - CATANE,En bus TAG,91.2083378626,down,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,En bus TAG,314.0029608597998,down,ALL,ALL,ALL,tram-c
FAUCONNIERE,En bus TAG,0.0,down,ALL,ALL,ALL,tram-c
GRAND PRE,En bus TAG,0.0,down,ALL,ALL,ALL,tram-c
MAS DES ILES,En bus TAG,0.0,down,ALL,ALL,ALL,tram-c
LE PRISME,En bus TAG,156.26543387330003,down,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,En voiture garée au parking relai,10.6840671189,down,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,tram-c
GABRIEL FAURE,En voiture garée au parking relai,3.164874591,down,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,tram-c
