cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
LES TAILLEES - UNIVERSITES,Déposé en voiture,2.2281254342,down,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,Déposé en voiture,4.1005010769000005,down,ALL,ALL,ALL,tram-d
MAISON COMMUNALE,Déposé en voiture,1.1727957441,down,ALL,ALL,ALL,tram-d
EDOUARD VAILLANT,Déposé en voiture,0.0,down,ALL,ALL,ALL,tram-d
PARC JO BLANCHON,Déposé en voiture,1.2612474239,down,ALL,ALL,ALL,tram-d
ETIENNE GRAPPE,Déposé en voiture,3.1371936065,down,ALL,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,En vélo,0.0,down,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,En vélo,0.0,down,ALL,ALL,ALL,tram-d
MAISON COMMUNALE,En vélo,2.4015498574,down,ALL,ALL,ALL,tram-d
EDOUARD VAILLANT,En vélo,0.0,down,ALL,ALL,ALL,tram-d
PARC JO BLANCHON,En vélo,0.0,down,ALL,ALL,ALL,tram-d
ETIENNE GRAPPE,En vélo,2.1251288136,down,ALL,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,A pied,509.29804256489894,down,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,A pied,696.5896260400979,down,ALL,ALL,ALL,tram-d
MAISON COMMUNALE,A pied,635.3097619249975,down,ALL,ALL,ALL,tram-d
EDOUARD VAILLANT,A pied,735.2673506283988,down,ALL,ALL,ALL,tram-d
PARC JO BLANCHON,A pied,483.3202220279991,down,ALL,ALL,ALL,tram-d
ETIENNE GRAPPE,A pied,717.3455644060975,down,ALL,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,En voiture garée au parking relai,6.0317825523,down,ALL,ALL,ALL,tram-d
MAISON COMMUNALE,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,tram-d
EDOUARD VAILLANT,En voiture garée au parking relai,2.3264400188,down,ALL,ALL,ALL,tram-d
PARC JO BLANCHON,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,tram-d
ETIENNE GRAPPE,En voiture garée au parking relai,0.9581185615,down,ALL,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-d
MAISON COMMUNALE,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-d
EDOUARD VAILLANT,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-d
PARC JO BLANCHON,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-d
ETIENNE GRAPPE,Mode non précisé,1.0435102703,down,ALL,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,En train,1.1738917526,down,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,En train,0.0,down,ALL,ALL,ALL,tram-d
MAISON COMMUNALE,En train,0.0,down,ALL,ALL,ALL,tram-d
EDOUARD VAILLANT,En train,0.0,down,ALL,ALL,ALL,tram-d
PARC JO BLANCHON,En train,0.0,down,ALL,ALL,ALL,tram-d
ETIENNE GRAPPE,En train,0.0,down,ALL,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,En tram,598.373176434302,down,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,En tram,291.5930423063008,down,ALL,ALL,ALL,tram-d
MAISON COMMUNALE,En tram,0.0,down,ALL,ALL,ALL,tram-d
EDOUARD VAILLANT,En tram,0.0,down,ALL,ALL,ALL,tram-d
PARC JO BLANCHON,En tram,0.0,down,ALL,ALL,ALL,tram-d
ETIENNE GRAPPE,En tram,0.0,down,ALL,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,En voiture garée à proximité,2.5704836911999998,down,ALL,ALL,ALL,tram-d
MAISON COMMUNALE,En voiture garée à proximité,0.9864469565,down,ALL,ALL,ALL,tram-d
EDOUARD VAILLANT,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,tram-d
PARC JO BLANCHON,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,tram-d
ETIENNE GRAPPE,En voiture garée à proximité,0.9581185615,down,ALL,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,En bus TAG,0.0,down,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,En bus TAG,65.11026858209999,down,ALL,ALL,ALL,tram-d
MAISON COMMUNALE,En bus TAG,11.9701100895,down,ALL,ALL,ALL,tram-d
EDOUARD VAILLANT,En bus TAG,28.5148494133,down,ALL,ALL,ALL,tram-d
PARC JO BLANCHON,En bus TAG,0.0,down,ALL,ALL,ALL,tram-d
ETIENNE GRAPPE,En bus TAG,342.6363358094997,down,ALL,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,Déposé en voiture,2.2281254342,down,S1,ALL,ALL,tram-d
