cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
LOUISE MICHEL,En train,0.0,down,ALL,ALL,ALL,tram-e
ALLIES,En train,0.0,down,ALL,ALL,ALL,tram-e
VALLIER - LIBERATION,En train,1.8337233983,down,ALL,ALL,ALL,tram-e
CONDORCET,En train,1.6729293508,down,ALL,ALL,ALL,tram-e
ALSACE-LORRAINE,En train,123.8341621926,down,ALL,ALL,ALL,tram-e
ESPLANADE CENTRE,En train,0.0,down,ALL,ALL,ALL,tram-e
CASAMAURES - VILLAGE,En train,0.0,down,ALL,ALL,ALL,tram-e
HOTEL DE VILLE (SAINT-MARTIN-LE-VINOUX),En train,0.0,down,ALL,ALL,ALL,tram-e
HORLOGE,En train,0.0,down,ALL,ALL,ALL,tram-e
NERON,En train,0.0,down,ALL,ALL,ALL,tram-e
FIANCEY - PREDIEU,En train,0.0,down,ALL,ALL,ALL,tram-e
MURET,En train,0.0,down,ALL,ALL,ALL,tram-e
PONT DE VENCE,En train,0.0,down,ALL,ALL,ALL,tram-e
LA PINEA - ST ROBERT,En train,2.674483379,down,ALL,ALL,ALL,tram-e
KARBEN,En train,0.0,down,ALL,ALL,ALL,tram-e
RAFOUR,En train,0.0,down,ALL,ALL,ALL,tram-e
PALLUEL,En train,0.0,down,ALL,ALL,ALL,tram-e
LOUISE MICHEL,En voiture garée au parking relai,26.3522007732,down,ALL,ALL,ALL,tram-e
ALLIES,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,tram-e
VALLIER - LIBERATION,En voiture garée au parking relai,3.3080201463,down,ALL,ALL,ALL,tram-e
CONDORCET,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,tram-e
ALSACE-LORRAINE,En voiture garée au parking relai,3.9966278704,down,ALL,ALL,ALL,tram-e
ESPLANADE CENTRE,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,tram-e
CASAMAURES - VILLAGE,En voiture garée au parking relai,26.489230367399998,down,ALL,ALL,ALL,tram-e
HOTEL DE VILLE (SAINT-MARTIN-LE-VINOUX),En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,tram-e
HORLOGE,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,tram-e
NERON,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,tram-e
FIANCEY - PREDIEU,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,tram-e
MURET,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,tram-e
PONT DE VENCE,En voiture garée au parking relai,2.7609304813,down,ALL,ALL,ALL,tram-e
LA PINEA - ST ROBERT,En voiture garée au parking relai,3.749277579,down,ALL,ALL,ALL,tram-e
KARBEN,En voiture garée au parking relai,53.36967144499999,down,ALL,ALL,ALL,tram-e
RAFOUR,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,tram-e
PALLUEL,En voiture garée au parking relai,132.24694947420005,down,ALL,ALL,ALL,tram-e
LOUISE MICHEL,En bus TAG,1390.8126682719994,down,ALL,ALL,ALL,tram-e
ALLIES,En bus TAG,448.16742041949965,down,ALL,ALL,ALL,tram-e
VALLIER - LIBERATION,En bus TAG,8.1386611245,down,ALL,ALL,ALL,tram-e
CONDORCET,En bus TAG,28.215295965399992,down,ALL,ALL,ALL,tram-e
ALSACE-LORRAINE,En bus TAG,0.0,down,ALL,ALL,ALL,tram-e
ESPLANADE CENTRE,En bus TAG,0.0,down,ALL,ALL,ALL,tram-e
CASAMAURES - VILLAGE,En bus TAG,0.0,down,ALL,ALL,ALL,tram-e
HOTEL DE VILLE (SAINT-MARTIN-LE-VINOUX),En bus TAG,6.4275960752,down,ALL,ALL,ALL,tram-e
HORLOGE,En bus TAG,0.0,down,ALL,ALL,ALL,tram-e
NERON,En bus TAG,0.0,down,ALL,ALL,ALL,tram-e
FIANCEY - PREDIEU,En bus TAG,0.0,down,ALL,ALL,ALL,tram-e
MURET,En bus TAG,18.8892182681,down,ALL,ALL,ALL,tram-e
PONT DE VENCE,En bus TAG,66.96044551370001,down,ALL,ALL,ALL,tram-e
LA PINEA - ST ROBERT,En bus TAG,0.0,down,ALL,ALL,ALL,tram-e
KARBEN,En bus TAG,21.1238806462,down,ALL,ALL,ALL,tram-e
RAFOUR,En bus TAG,0.0,down,ALL,ALL,ALL,tram-e
