cluster_name,target_line,passengers_count,up_down,line_direction,timelaps,goal,line
MAISONS NEUVES,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
LES SAULES,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
PLACE DES GEANTS,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
RAYMOND CHANAS,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
GRAND'PLACE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
EDMOND ESMONIN,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
MAISON DES ANCIENS,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
VERLAINE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
STADE LESDIGUIERES,Ligne 17,13.173299834200002,up,ALL,ALL,ALL,ligne-12
BACHELARD,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
CITE PAUL MISTRAL,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
ANATOLE FRANCE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
DOCTEUR SCHWEITZER,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
HENRI DUNANT,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
SALENGRO,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
CHAMPS-ELYSEES,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
VALLIER - DOCTEUR CALMETTE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
D'ALEMBERT,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
ABBE GREGOIRE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
SAINT-BRUNO (LIGNE 12),Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
CHORIER - CONDORCET,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
CONDORCET,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
CHAMPIONNET,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
CHAMPOLLION,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
DOCTEUR MARTIN,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
VERDUN - PREFECTURE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
BIR HAKEIM,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
MADELEINE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
JEANNE D'ARC,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
GRAND CHATELET,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
BON PASTEUR,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
HOUILLE BLANCHE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-12
