cluster_name,target_line,passengers_count,up_down,line_direction,timelaps,goal,line
PONT ROUGE,Tram E,0.0,up,ALL,ALL,ALL,ligne-c2
PONT-DE-CLAIX MAIRIE,Tram E,0.0,up,ALL,ALL,ALL,ligne-c2
MARCELLINE,Tram E,0.0,up,ALL,ALL,ALL,ligne-c2
IRENE JOLIOT - CURIE,Tram E,0.0,up,ALL,ALL,ALL,ligne-c2
ILES DE MARS,Tram E,0.0,up,ALL,ALL,ALL,ligne-c2
CLOS DOMINIQUE,Tram E,0.0,up,ALL,ALL,ALL,ligne-c2
FLOTTIBULLE,Tram E,0.0,up,ALL,ALL,ALL,ligne-c2
ECUREUIL,Tram E,0.0,up,ALL,ALL,ALL,ligne-c2
BAYARD,Tram E,0.0,up,ALL,ALL,ALL,ligne-c2
QUINZAINE,Tram E,0.0,up,ALL,ALL,ALL,ligne-c2
NAVIS,Tram E,0.0,up,ALL,ALL,ALL,ligne-c2
LE RONDEAU,Tram E,0.0,up,ALL,ALL,ALL,ligne-c2
STADE LESDIGUIERES,Tram E,0.0,up,ALL,ALL,ALL,ligne-c2
LOUISE MICHEL,Tram E,1459.8041406091074,up,ALL,ALL,ALL,ligne-c2
PONT ROUGE,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-c2
PONT-DE-CLAIX MAIRIE,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-c2
MARCELLINE,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-c2
IRENE JOLIOT - CURIE,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-c2
ILES DE MARS,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-c2
CLOS DOMINIQUE,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-c2
FLOTTIBULLE,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-c2
ECUREUIL,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-c2
BAYARD,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-c2
QUINZAINE,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-c2
NAVIS,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-c2
LE RONDEAU,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-c2
STADE LESDIGUIERES,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-c2
LOUISE MICHEL,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-c2
PONT ROUGE,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c2
PONT-DE-CLAIX MAIRIE,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c2
MARCELLINE,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c2
IRENE JOLIOT - CURIE,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c2
ILES DE MARS,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c2
CLOS DOMINIQUE,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c2
FLOTTIBULLE,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c2
ECUREUIL,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c2
BAYARD,Ligne 11,110.2432636218,up,ALL,ALL,ALL,ligne-c2
QUINZAINE,Ligne 11,216.50488555809997,up,ALL,ALL,ALL,ligne-c2
NAVIS,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c2
LE RONDEAU,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c2
STADE LESDIGUIERES,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c2
LOUISE MICHEL,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c2
PONT ROUGE,Ligne 64,0.0,up,ALL,ALL,ALL,ligne-c2
PONT-DE-CLAIX MAIRIE,Ligne 64,0.0,up,ALL,ALL,ALL,ligne-c2
MARCELLINE,Ligne 64,0.0,up,ALL,ALL,ALL,ligne-c2
IRENE JOLIOT - CURIE,Ligne 64,0.0,up,ALL,ALL,ALL,ligne-c2
ILES DE MARS,Ligne 64,0.0,up,ALL,ALL,ALL,ligne-c2
CLOS DOMINIQUE,Ligne 64,0.0,up,ALL,ALL,ALL,ligne-c2
FLOTTIBULLE,Ligne 64,44.07844757820001,up,ALL,ALL,ALL,ligne-c2
ECUREUIL,Ligne 64,0.0,up,ALL,ALL,ALL,ligne-c2
BAYARD,Ligne 64,0.0,up,ALL,ALL,ALL,ligne-c2
QUINZAINE,Ligne 64,0.0,up,ALL,ALL,ALL,ligne-c2
NAVIS,Ligne 64,0.0,up,ALL,ALL,ALL,ligne-c2
LE RONDEAU,Ligne 64,0.0,up,ALL,ALL,ALL,ligne-c2
STADE LESDIGUIERES,Ligne 64,0.0,up,ALL,ALL,ALL,ligne-c2
LOUISE MICHEL,Ligne 64,0.0,up,ALL,ALL,ALL,ligne-c2
PONT ROUGE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-c2
PONT-DE-CLAIX MAIRIE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-c2
MARCELLINE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-c2
IRENE JOLIOT - CURIE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-c2
ILES DE MARS,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-c2
CLOS DOMINIQUE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-c2
FLOTTIBULLE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-c2
ECUREUIL,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-c2
BAYARD,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-c2
QUINZAINE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-c2
NAVIS,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-c2
LE RONDEAU,Ligne C6,77.11833943630002,up,ALL,ALL,ALL,ligne-c2
STADE LESDIGUIERES,Ligne C6,322.79420691610034,up,ALL,ALL,ALL,ligne-c2
LOUISE MICHEL,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-c2
