cluster_name,target_line,passengers_count,up_down,line_direction,timelaps,goal,line
DENIS PAPIN,Tram C,0.0,up,ALL,ALL,ALL,tram-a
AUGUSTE DELAUNE,Tram C,0.0,up,ALL,ALL,ALL,tram-a
MARIE CURIE,Tram C,0.0,up,ALL,ALL,ALL,tram-a
LA RAMPE - CENTRE-VILLE,Tram C,0.0,up,ALL,ALL,ALL,tram-a
GARE (ECHIROLLES),Tram C,0.0,up,ALL,ALL,ALL,tram-a
ESSARTS - LA BUTTE,Tram C,0.0,up,ALL,ALL,ALL,tram-a
SURIEUX,Tram C,0.0,up,ALL,ALL,ALL,tram-a
LES GRANGES,Tram C,0.0,up,ALL,ALL,ALL,tram-a
POLESUD - ALPEXPO,Tram C,0.0,up,ALL,ALL,ALL,tram-a
GRAND'PLACE,Tram C,0.0,up,ALL,ALL,ALL,tram-a
ARLEQUIN,Tram C,0.0,up,ALL,ALL,ALL,tram-a
LA BRUYERE,Tram C,0.0,up,ALL,ALL,ALL,tram-a
MALHERBE,Tram C,0.0,up,ALL,ALL,ALL,tram-a
MC2: MAISON DE LA CULTURE,Tram C,0.0,up,ALL,ALL,ALL,tram-a
MOUNIER,Tram C,0.0,up,ALL,ALL,ALL,tram-a
ALBERT 1ER DE BELGIQUE,Tram C,23.5760778023,up,ALL,ALL,ALL,tram-a
CHAVANT,Tram C,3318.3690227849092,up,ALL,ALL,ALL,tram-a
VERDUN - PREFECTURE,Tram C,0.0,up,ALL,ALL,ALL,tram-a
HUBERT DUBEDOUT - MAISON DU TOURISME,Tram C,0.0,up,ALL,ALL,ALL,tram-a
VICTOR HUGO,Tram C,0.0,up,ALL,ALL,ALL,tram-a
ALSACE-LORRAINE,Tram C,0.0,up,ALL,ALL,ALL,tram-a
GARES,Tram C,0.0,up,ALL,ALL,ALL,tram-a
SAINT-BRUNO (TRAM),Tram C,0.0,up,ALL,ALL,ALL,tram-a
BERRIAT-LE MAGASIN,Tram C,0.0,up,ALL,ALL,ALL,tram-a
LES FONTAINADES - LE VOG,Tram C,0.0,up,ALL,ALL,ALL,tram-a
LOUIS MAISONNAT,Tram C,0.0,up,ALL,ALL,ALL,tram-a
FONTAINE HOTEL DE VILLE - LA SOURCE,Tram C,0.0,up,ALL,ALL,ALL,tram-a
CHARLES MICHELS,Tram C,0.0,up,ALL,ALL,ALL,tram-a
LA POYA,Tram C,0.0,up,ALL,ALL,ALL,tram-a
DENIS PAPIN,Ligne 20,0.0,up,ALL,ALL,ALL,tram-a
AUGUSTE DELAUNE,Ligne 20,0.0,up,ALL,ALL,ALL,tram-a
MARIE CURIE,Ligne 20,0.0,up,ALL,ALL,ALL,tram-a
LA RAMPE - CENTRE-VILLE,Ligne 20,0.0,up,ALL,ALL,ALL,tram-a
GARE (ECHIROLLES),Ligne 20,0.0,up,ALL,ALL,ALL,tram-a
ESSARTS - LA BUTTE,Ligne 20,0.0,up,ALL,ALL,ALL,tram-a
SURIEUX,Ligne 20,0.0,up,ALL,ALL,ALL,tram-a
