cluster_name,target_line,passengers_count,up_down,line_direction,timelaps,goal,line
PLAINE DES SPORTS,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
GIERES GARE - UNIVERSITES (TRAM),Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
MAYENCIN - CHAMP ROMAN,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
CONDILLAC - UNIVERSITES,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
BIBLIOTHEQUES UNIVERSITAIRES,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
GABRIEL FAURE,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
LES TAILLEES - UNIVERSITES,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
GRAND SABLON,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
MICHALLON,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
LA TRONCHE HOPITAL,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
ILE VERTE,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
NOTRE-DAME - MUSEE,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
SAINTE-CLAIRE - LES HALLES,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
HUBERT DUBEDOUT - MAISON DU TOURISME,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
VICTOR HUGO,Ligne 17,54.983276704800005,up,ALL,ALL,ALL,tram-b
ALSACE-LORRAINE,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
GARES,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
SAINT-BRUNO (TRAM),Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
PALAIS DE JUSTICE,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
CITE INTERNATIONALE,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
CEA - CAMBRIDGE,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
PRESQU'ILE,Ligne 17,0.0,up,ALL,ALL,ALL,tram-b
PLAINE DES SPORTS,Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
GIERES GARE - UNIVERSITES (TRAM),Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
MAYENCIN - CHAMP ROMAN,Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
CONDILLAC - UNIVERSITES,Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
BIBLIOTHEQUES UNIVERSITAIRES,Ligne C5,47.43740856219999,up,ALL,ALL,ALL,tram-b
GABRIEL FAURE,Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
LES TAILLEES - UNIVERSITES,Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
GRAND SABLON,Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
MICHALLON,Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
LA TRONCHE HOPITAL,Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
ILE VERTE,Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
NOTRE-DAME - MUSEE,Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
SAINTE-CLAIRE - LES HALLES,Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
HUBERT DUBEDOUT - MAISON DU TOURISME,Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
VICTOR HUGO,Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
ALSACE-LORRAINE,Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
GARES,Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
SAINT-BRUNO (TRAM),Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
PALAIS DE JUSTICE,Ligne C5,55.02908134159999,up,ALL,ALL,ALL,tram-b
CITE INTERNATIONALE,Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
CEA - CAMBRIDGE,Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
PRESQU'ILE,Ligne C5,0.0,up,ALL,ALL,ALL,tram-b
PLAINE DES SPORTS,Ligne C6,0.0,up,ALL,ALL,ALL,tram-b
GIERES GARE - UNIVERSITES (TRAM),Ligne C6,0.0,up,ALL,ALL,ALL,tram-b
MAYENCIN - CHAMP ROMAN,Ligne C6,0.0,up,ALL,ALL,ALL,tram-b
CONDILLAC - UNIVERSITES,Ligne C6,0.0,up,ALL,ALL,ALL,tram-b
BIBLIOTHEQUES UNIVERSITAIRES,Ligne C6,0.0,up,ALL,ALL,ALL,tram-b
GABRIEL FAURE,Ligne C6,0.0,up,ALL,ALL,ALL,tram-b
