cluster_name,target_line,passengers_count,up_down,line_direction,timelaps,goal,line
CONDILLAC - UNIVERSITES,Ligne 49,0.0,up,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,Ligne 49,0.0,up,ALL,ALL,ALL,tram-c
GABRIEL FAURE,Ligne 49,0.0,up,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,Ligne 49,0.0,up,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,Ligne 49,0.0,up,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,Ligne 49,0.0,up,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,Ligne 49,0.0,up,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),Ligne 49,0.0,up,ALL,ALL,ALL,tram-c
CHAVANT,Ligne 49,0.0,up,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,Ligne 49,0.0,up,ALL,ALL,ALL,tram-c
FOCH - FERRIE,Ligne 49,0.0,up,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,Ligne 49,0.0,up,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,Ligne 49,0.0,up,ALL,ALL,ALL,tram-c
VALLIER - CATANE,Ligne 49,0.0,up,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,Ligne 49,0.0,up,ALL,ALL,ALL,tram-c
FAUCONNIERE,Ligne 49,0.0,up,ALL,ALL,ALL,tram-c
GRAND PRE,Ligne 49,0.0,up,ALL,ALL,ALL,tram-c
MAS DES ILES,Ligne 49,0.0,up,ALL,ALL,ALL,tram-c
LE PRISME,Ligne 49,12.8585021628,up,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
GABRIEL FAURE,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
CHAVANT,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
FOCH - FERRIE,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
VALLIER - CATANE,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
FAUCONNIERE,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
GRAND PRE,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
MAS DES ILES,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
LE PRISME,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,Ligne 6070,14.3150340453,up,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,Ligne 6070,0.0,up,ALL,ALL,ALL,tram-c
GABRIEL FAURE,Ligne 6070,0.0,up,ALL,ALL,ALL,tram-c
