cluster_name,target_line,passengers_count,up_down,line_direction,timelaps,goal,line
LES TAILLEES - UNIVERSITES,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-d
MAISON COMMUNALE,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-d
EDOUARD VAILLANT,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-d
PARC JO BLANCHON,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-d
ETIENNE GRAPPE,Ligne non précisée,0.0,up,ALL,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,Ligne 12,0.0,up,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,Ligne 12,0.0,up,ALL,ALL,ALL,tram-d
MAISON COMMUNALE,Ligne 12,0.0,up,ALL,ALL,ALL,tram-d
EDOUARD VAILLANT,Ligne 12,0.0,up,ALL,ALL,ALL,tram-d
PARC JO BLANCHON,Ligne 12,0.0,up,ALL,ALL,ALL,tram-d
ETIENNE GRAPPE,Ligne 12,42.903501121600016,up,ALL,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,Ligne 15,0.0,up,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,Ligne 15,60.41400548349999,up,ALL,ALL,ALL,tram-d
MAISON COMMUNALE,Ligne 15,0.0,up,ALL,ALL,ALL,tram-d
EDOUARD VAILLANT,Ligne 15,0.0,up,ALL,ALL,ALL,tram-d
PARC JO BLANCHON,Ligne 15,0.0,up,ALL,ALL,ALL,tram-d
ETIENNE GRAPPE,Ligne 15,0.0,up,ALL,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,Ligne 14,0.0,up,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,Ligne 14,0.0,up,ALL,ALL,ALL,tram-d
MAISON COMMUNALE,Ligne 14,11.9701100895,up,ALL,ALL,ALL,tram-d
EDOUARD VAILLANT,Ligne 14,0.0,up,ALL,ALL,ALL,tram-d
PARC JO BLANCHON,Ligne 14,0.0,up,ALL,ALL,ALL,tram-d
ETIENNE GRAPPE,Ligne 14,0.0,up,ALL,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,Tram C,0.0,up,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,Tram C,291.5930423063008,up,ALL,ALL,ALL,tram-d
MAISON COMMUNALE,Tram C,0.0,up,ALL,ALL,ALL,tram-d
EDOUARD VAILLANT,Tram C,0.0,up,ALL,ALL,ALL,tram-d
PARC JO BLANCHON,Tram C,0.0,up,ALL,ALL,ALL,tram-d
ETIENNE GRAPPE,Tram C,0.0,up,ALL,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,Ligne C6,0.0,up,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,Ligne C6,0.0,up,ALL,ALL,ALL,tram-d
