cluster_name,target_line,passengers_count,up_down,line_direction,timelaps,goal,line
LOUISE MICHEL,Ligne 12,0.0,up,ALL,ALL,ALL,tram-e
ALLIES,Ligne 12,0.0,up,ALL,ALL,ALL,tram-e
VALLIER - LIBERATION,Ligne 12,0.0,up,ALL,ALL,ALL,tram-e
CONDORCET,Ligne 12,28.215295965399992,up,ALL,ALL,ALL,tram-e
ALSACE-LORRAINE,Ligne 12,0.0,up,ALL,ALL,ALL,tram-e
ESPLANADE CENTRE,Ligne 12,0.0,up,ALL,ALL,ALL,tram-e
CASAMAURES - VILLAGE,Ligne 12,0.0,up,ALL,ALL,ALL,tram-e
HOTEL DE VILLE (SAINT-MARTIN-LE-VINOUX),Ligne 12,0.0,up,ALL,ALL,ALL,tram-e
HORLOGE,Ligne 12,0.0,up,ALL,ALL,ALL,tram-e
NERON,Ligne 12,0.0,up,ALL,ALL,ALL,tram-e
FIANCEY - PREDIEU,Ligne 12,0.0,up,ALL,ALL,ALL,tram-e
MURET,Ligne 12,0.0,up,ALL,ALL,ALL,tram-e
PONT DE VENCE,Ligne 12,0.0,up,ALL,ALL,ALL,tram-e
LA PINEA - ST ROBERT,Ligne 12,0.0,up,ALL,ALL,ALL,tram-e
KARBEN,Ligne 12,0.0,up,ALL,ALL,ALL,tram-e
RAFOUR,Ligne 12,0.0,up,ALL,ALL,ALL,tram-e
PALLUEL,Ligne 12,0.0,up,ALL,ALL,ALL,tram-e
LOUISE MICHEL,Ligne 56,0.0,up,ALL,ALL,ALL,tram-e
ALLIES,Ligne 56,0.0,up,ALL,ALL,ALL,tram-e
VALLIER - LIBERATION,Ligne 56,0.0,up,ALL,ALL,ALL,tram-e
CONDORCET,Ligne 56,0.0,up,ALL,ALL,ALL,tram-e
ALSACE-LORRAINE,Ligne 56,0.0,up,ALL,ALL,ALL,tram-e
ESPLANADE CENTRE,Ligne 56,0.0,up,ALL,ALL,ALL,tram-e
CASAMAURES - VILLAGE,Ligne 56,0.0,up,ALL,ALL,ALL,tram-e
HOTEL DE VILLE (SAINT-MARTIN-LE-VINOUX),Ligne 56,6.4275960752,up,ALL,ALL,ALL,tram-e
HORLOGE,Ligne 56,0.0,up,ALL,ALL,ALL,tram-e
NERON,Ligne 56,0.0,up,ALL,ALL,ALL,tram-e
FIANCEY - PREDIEU,Ligne 56,0.0,up,ALL,ALL,ALL,tram-e
MURET,Ligne 56,0.0,up,ALL,ALL,ALL,tram-e
PONT DE VENCE,Ligne 56,0.0,up,ALL,ALL,ALL,tram-e
LA PINEA - ST ROBERT,Ligne 56,0.0,up,ALL,ALL,ALL,tram-e
KARBEN,Ligne 56,0.0,up,ALL,ALL,ALL,tram-e
RAFOUR,Ligne 56,0.0,up,ALL,ALL,ALL,tram-e
PALLUEL,Ligne 56,0.0,up,ALL,ALL,ALL,tram-e
LOUISE MICHEL,Ligne 22,0.0,up,ALL,ALL,ALL,tram-e
ALLIES,Ligne 22,0.0,up,ALL,ALL,ALL,tram-e
VALLIER - LIBERATION,Ligne 22,0.0,up,ALL,ALL,ALL,tram-e
CONDORCET,Ligne 22,0.0,up,ALL,ALL,ALL,tram-e
ALSACE-LORRAINE,Ligne 22,0.0,up,ALL,ALL,ALL,tram-e
