up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
L'OVALIE,MARAT,0.98796,ALL,ALL,ALL,ligne-19
LE GUA,MARAT,0.0,ALL,ALL,ALL,ligne-19
PLACE DE LA LIBERATION,MARAT,0.0,ALL,ALL,ALL,ligne-19
TREFFORINE,MARAT,0.0,ALL,ALL,ALL,ligne-19
PRE FLEURY,MARAT,2.3758085714000003,ALL,ALL,ALL,ligne-19
LES PIES,MARAT,4.2833084063,ALL,ALL,ALL,ligne-19
LA POYA,MARAT,14.8255602263,ALL,ALL,ALL,ligne-19
GERARD PHILIPE,MARAT,0.0,ALL,ALL,ALL,ligne-19
RUE DES ALPES,MARAT,0.0,ALL,ALL,ALL,ligne-19
LES ECRINS,MARAT,0.0,ALL,ALL,ALL,ligne-19
JULES GUESDE,MARAT,1.7906775,ALL,ALL,ALL,ligne-19
PLACE DU MARCHE CACHIN,MARAT,2.3287628571,ALL,ALL,ALL,ligne-19
RUE PASTEUR,MARAT,4.774943976199999,ALL,ALL,ALL,ligne-19
CURIE - VERCORS,MARAT,1.9318146429,ALL,ALL,ALL,ligne-19
LOUIS MAISONNAT,MARAT,34.895607232100005,ALL,ALL,ALL,ligne-19
ARISTIDE BERGES,MARAT,24.560192751200002,ALL,ALL,ALL,ligne-19
BOUCHAYER HOTEL DE VILLE,MARAT,3.9961715384000005,ALL,ALL,ALL,ligne-19
MURAILLES,MARAT,0.0,ALL,ALL,ALL,ligne-19
BELVEDERE,MARAT,0.0,ALL,ALL,ALL,ligne-19
CENTRE-VILLAGE,MARAT,0.0,ALL,ALL,ALL,ligne-19
VILLAGE (SEYSSINET-PARISET),MARAT,0.0,ALL,ALL,ALL,ligne-19
L'OVALIE,LA POYA,67.33143566300001,ALL,ALL,ALL,ligne-19
LE GUA,LA POYA,29.2264551317,ALL,ALL,ALL,ligne-19
PLACE DE LA LIBERATION,LA POYA,54.43780783959999,ALL,ALL,ALL,ligne-19
TREFFORINE,LA POYA,28.106779778599996,ALL,ALL,ALL,ligne-19
PRE FLEURY,LA POYA,30.260425861799995,ALL,ALL,ALL,ligne-19
LES PIES,LA POYA,28.090144367199997,ALL,ALL,ALL,ligne-19
GERARD PHILIPE,LA POYA,1.9545026853,ALL,ALL,ALL,ligne-19
RUE DES ALPES,LA POYA,14.1349806517,ALL,ALL,ALL,ligne-19
MARAT,LA POYA,34.3414489546,ALL,ALL,ALL,ligne-19
LES ECRINS,LA POYA,3.5291330104,ALL,ALL,ALL,ligne-19
JULES GUESDE,LA POYA,9.9487534598,ALL,ALL,ALL,ligne-19
PLACE DU MARCHE CACHIN,LA POYA,8.5641754364,ALL,ALL,ALL,ligne-19
