up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
LE VERDERET,MAISONS NEUVES,17.658900224099998,ALL,ALL,ALL,ligne-c4
LE BOURG (EYBENS),MAISONS NEUVES,31.272911010499996,ALL,ALL,ALL,ligne-c4
LES JAVAUX,MAISONS NEUVES,10.132556040699999,ALL,ALL,ALL,ligne-c4
ODYSSEE,MAISONS NEUVES,58.60958110409999,ALL,ALL,ALL,ligne-c4
VAL D'EYBENS,MAISONS NEUVES,4.4675938932,ALL,ALL,ALL,ligne-c4
GENERAL DE GAULLE,MAISONS NEUVES,2.8598842105,ALL,ALL,ALL,ligne-c4
JEAN RACINE,MAISONS NEUVES,9.6051666667,ALL,ALL,ALL,ligne-c4
TEISSEIRE (GRENOBLE),MAISONS NEUVES,153.2103914397,ALL,ALL,ALL,ligne-c4
PAUL CLAUDEL,MAISONS NEUVES,15.371495294199999,ALL,ALL,ALL,ligne-c4
PONSARD,MAISONS NEUVES,34.2564543422,ALL,ALL,ALL,ligne-c4
BAJATIERE,MAISONS NEUVES,12.5445517078,ALL,ALL,ALL,ligne-c4
MALLIFAUD,MAISONS NEUVES,14.613607541499999,ALL,ALL,ALL,ligne-c4
DRIANT,MAISONS NEUVES,3.3680454545,ALL,ALL,ALL,ligne-c4
CHAVANT,MAISONS NEUVES,88.61837137329996,ALL,ALL,ALL,ligne-c4
DOCTEUR MARTIN,MAISONS NEUVES,28.722374977299996,ALL,ALL,ALL,ligne-c4
VICTOR HUGO,MAISONS NEUVES,131.70756847600006,ALL,ALL,ALL,ligne-c4
LE VERDERET,GENERAL DE GAULLE,11.0062221196,ALL,ALL,ALL,ligne-c4
LE BOURG (EYBENS),GENERAL DE GAULLE,16.725574265,ALL,ALL,ALL,ligne-c4
LES JAVAUX,GENERAL DE GAULLE,13.504138598800001,ALL,ALL,ALL,ligne-c4
ODYSSEE,GENERAL DE GAULLE,18.0749375237,ALL,ALL,ALL,ligne-c4
VAL D'EYBENS,GENERAL DE GAULLE,0.0,ALL,ALL,ALL,ligne-c4
MAISONS NEUVES,GENERAL DE GAULLE,1.9111076763,ALL,ALL,ALL,ligne-c4
JEAN RACINE,GENERAL DE GAULLE,0.0,ALL,ALL,ALL,ligne-c4
TEISSEIRE (GRENOBLE),GENERAL DE GAULLE,22.989943465399996,ALL,ALL,ALL,ligne-c4
PAUL CLAUDEL,GENERAL DE GAULLE,3.6852914794,ALL,ALL,ALL,ligne-c4
PONSARD,GENERAL DE GAULLE,11.9857358163,ALL,ALL,ALL,ligne-c4
BAJATIERE,GENERAL DE GAULLE,0.0,ALL,ALL,ALL,ligne-c4
MALLIFAUD,GENERAL DE GAULLE,11.4850350001,ALL,ALL,ALL,ligne-c4
DRIANT,GENERAL DE GAULLE,0.0,ALL,ALL,ALL,ligne-c4
CHAVANT,GENERAL DE GAULLE,36.6722807853,ALL,ALL,ALL,ligne-c4
DOCTEUR MARTIN,GENERAL DE GAULLE,17.1041864786,ALL,ALL,ALL,ligne-c4
VICTOR HUGO,GENERAL DE GAULLE,73.35348126929998,ALL,ALL,ALL,ligne-c4
LE VERDERET,DRIANT,5.6796564793,ALL,ALL,ALL,ligne-c4
LE BOURG (EYBENS),DRIANT,9.4960591459,ALL,ALL,ALL,ligne-c4
LES JAVAUX,DRIANT,1.4771112787,ALL,ALL,ALL,ligne-c4
ODYSSEE,DRIANT,5.8090665141999995,ALL,ALL,ALL,ligne-c4
VAL D'EYBENS,DRIANT,0.0,ALL,ALL,ALL,ligne-c4
GENERAL DE GAULLE,DRIANT,0.0,ALL,ALL,ALL,ligne-c4
MAISONS NEUVES,DRIANT,8.3112428476,ALL,ALL,ALL,ligne-c4
JEAN RACINE,DRIANT,2.2026257971,ALL,ALL,ALL,ligne-c4
TEISSEIRE (GRENOBLE),DRIANT,35.4314815748,ALL,ALL,ALL,ligne-c4
PAUL CLAUDEL,DRIANT,11.2692802895,ALL,ALL,ALL,ligne-c4
PONSARD,DRIANT,4.0136578922,ALL,ALL,ALL,ligne-c4
BAJATIERE,DRIANT,3.2231325595,ALL,ALL,ALL,ligne-c4
MALLIFAUD,DRIANT,0.0,ALL,ALL,ALL,ligne-c4
CHAVANT,DRIANT,14.698501923399999,ALL,ALL,ALL,ligne-c4
DOCTEUR MARTIN,DRIANT,10.444639796699999,ALL,ALL,ALL,ligne-c4
VICTOR HUGO,DRIANT,25.077015946599996,ALL,ALL,ALL,ligne-c4
LE VERDERET,PAUL CLAUDEL,20.399870192899996,ALL,ALL,ALL,ligne-c4
LE BOURG (EYBENS),PAUL CLAUDEL,6.678499738599999,ALL,ALL,ALL,ligne-c4
LES JAVAUX,PAUL CLAUDEL,9.2476949842,ALL,ALL,ALL,ligne-c4
ODYSSEE,PAUL CLAUDEL,22.9471642304,ALL,ALL,ALL,ligne-c4
VAL D'EYBENS,PAUL CLAUDEL,10.5480972586,ALL,ALL,ALL,ligne-c4
GENERAL DE GAULLE,PAUL CLAUDEL,18.264605038699997,ALL,ALL,ALL,ligne-c4
MAISONS NEUVES,PAUL CLAUDEL,15.308106051900001,ALL,ALL,ALL,ligne-c4
JEAN RACINE,PAUL CLAUDEL,7.4736021746,ALL,ALL,ALL,ligne-c4
TEISSEIRE (GRENOBLE),PAUL CLAUDEL,3.0425149076,ALL,ALL,ALL,ligne-c4
PONSARD,PAUL CLAUDEL,2.428735,ALL,ALL,ALL,ligne-c4
BAJATIERE,PAUL CLAUDEL,0.0,ALL,ALL,ALL,ligne-c4
MALLIFAUD,PAUL CLAUDEL,2.428735,ALL,ALL,ALL,ligne-c4
DRIANT,PAUL CLAUDEL,0.0,ALL,ALL,ALL,ligne-c4
CHAVANT,PAUL CLAUDEL,67.85835262349998,ALL,ALL,ALL,ligne-c4
DOCTEUR MARTIN,PAUL CLAUDEL,11.4408954368,ALL,ALL,ALL,ligne-c4
VICTOR HUGO,PAUL CLAUDEL,103.91493853140003,ALL,ALL,ALL,ligne-c4
LE VERDERET,PONSARD,10.2403151899,ALL,ALL,ALL,ligne-c4
LE BOURG (EYBENS),PONSARD,5.8090665141999995,ALL,ALL,ALL,ligne-c4
LES JAVAUX,PONSARD,2.7999141082,ALL,ALL,ALL,ligne-c4
ODYSSEE,PONSARD,8.6597006708,ALL,ALL,ALL,ligne-c4
VAL D'EYBENS,PONSARD,5.8771500318,ALL,ALL,ALL,ligne-c4
GENERAL DE GAULLE,PONSARD,9.870521470300002,ALL,ALL,ALL,ligne-c4
MAISONS NEUVES,PONSARD,14.664440647100001,ALL,ALL,ALL,ligne-c4
JEAN RACINE,PONSARD,10.6098696125,ALL,ALL,ALL,ligne-c4
TEISSEIRE (GRENOBLE),PONSARD,35.4940733743,ALL,ALL,ALL,ligne-c4
PAUL CLAUDEL,PONSARD,0.0,ALL,ALL,ALL,ligne-c4
BAJATIERE,PONSARD,0.0,ALL,ALL,ALL,ligne-c4
MALLIFAUD,PONSARD,12.802315,ALL,ALL,ALL,ligne-c4
DRIANT,PONSARD,5.4475016667,ALL,ALL,ALL,ligne-c4
CHAVANT,PONSARD,135.16974846410005,ALL,ALL,ALL,ligne-c4
DOCTEUR MARTIN,PONSARD,26.901062614,ALL,ALL,ALL,ligne-c4
VICTOR HUGO,PONSARD,123.96750941620006,ALL,ALL,ALL,ligne-c4
LE VERDERET,ODYSSEE,15.3630757694,ALL,ALL,ALL,ligne-c4
LE BOURG (EYBENS),ODYSSEE,12.0766321464,ALL,ALL,ALL,ligne-c4
LES JAVAUX,ODYSSEE,0.0,ALL,ALL,ALL,ligne-c4
VAL D'EYBENS,ODYSSEE,12.185891676299999,ALL,ALL,ALL,ligne-c4
GENERAL DE GAULLE,ODYSSEE,30.966525982599997,ALL,ALL,ALL,ligne-c4
MAISONS NEUVES,ODYSSEE,30.358628372,ALL,ALL,ALL,ligne-c4
JEAN RACINE,ODYSSEE,2.1570771267,ALL,ALL,ALL,ligne-c4
TEISSEIRE (GRENOBLE),ODYSSEE,32.34972284569999,ALL,ALL,ALL,ligne-c4
PAUL CLAUDEL,ODYSSEE,57.6679424596,ALL,ALL,ALL,ligne-c4
PONSARD,ODYSSEE,26.5152496969,ALL,ALL,ALL,ligne-c4
BAJATIERE,ODYSSEE,46.7874796115,ALL,ALL,ALL,ligne-c4
MALLIFAUD,ODYSSEE,40.550505916,ALL,ALL,ALL,ligne-c4
DRIANT,ODYSSEE,5.1897383745,ALL,ALL,ALL,ligne-c4
CHAVANT,ODYSSEE,89.26558647429997,ALL,ALL,ALL,ligne-c4
DOCTEUR MARTIN,ODYSSEE,37.516012445099996,ALL,ALL,ALL,ligne-c4
VICTOR HUGO,ODYSSEE,128.55599784560007,ALL,ALL,ALL,ligne-c4
LE VERDERET,JEAN RACINE,4.611355704699999,ALL,ALL,ALL,ligne-c4
LE BOURG (EYBENS),JEAN RACINE,1.8114415965,ALL,ALL,ALL,ligne-c4
LES JAVAUX,JEAN RACINE,1.4771112787,ALL,ALL,ALL,ligne-c4
ODYSSEE,JEAN RACINE,4.126972846499999,ALL,ALL,ALL,ligne-c4
VAL D'EYBENS,JEAN RACINE,1.6077096827,ALL,ALL,ALL,ligne-c4
GENERAL DE GAULLE,JEAN RACINE,4.624975504,ALL,ALL,ALL,ligne-c4
MAISONS NEUVES,JEAN RACINE,17.3863825977,ALL,ALL,ALL,ligne-c4
TEISSEIRE (GRENOBLE),JEAN RACINE,10.156522859399999,ALL,ALL,ALL,ligne-c4
