up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
PLAINE DES SPORTS,SAINTE-CLAIRE - LES HALLES,18.4348465779,ALL,ALL,ALL,tram-b
GIERES GARE - UNIVERSITES (TRAM),SAINTE-CLAIRE - LES HALLES,44.6069195167,ALL,ALL,ALL,tram-b
MAYENCIN - CHAMP ROMAN,SAINTE-CLAIRE - LES HALLES,8.7117842174,ALL,ALL,ALL,tram-b
CONDILLAC - UNIVERSITES,SAINTE-CLAIRE - LES HALLES,135.243660444,ALL,ALL,ALL,tram-b
BIBLIOTHEQUES UNIVERSITAIRES,SAINTE-CLAIRE - LES HALLES,184.25354329970017,ALL,ALL,ALL,tram-b
GABRIEL FAURE,SAINTE-CLAIRE - LES HALLES,185.91700873390008,ALL,ALL,ALL,tram-b
LES TAILLEES - UNIVERSITES,SAINTE-CLAIRE - LES HALLES,206.11540200049987,ALL,ALL,ALL,tram-b
GRAND SABLON,SAINTE-CLAIRE - LES HALLES,170.16435329709998,ALL,ALL,ALL,tram-b
MICHALLON,SAINTE-CLAIRE - LES HALLES,124.15501030180005,ALL,ALL,ALL,tram-b
LA TRONCHE HOPITAL,SAINTE-CLAIRE - LES HALLES,66.74144923069998,ALL,ALL,ALL,tram-b
ILE VERTE,SAINTE-CLAIRE - LES HALLES,130.25262871390004,ALL,ALL,ALL,tram-b
NOTRE-DAME - MUSEE,SAINTE-CLAIRE - LES HALLES,9.6930881337,ALL,ALL,ALL,tram-b
HUBERT DUBEDOUT - MAISON DU TOURISME,SAINTE-CLAIRE - LES HALLES,58.451718691300016,ALL,ALL,ALL,tram-b
VICTOR HUGO,SAINTE-CLAIRE - LES HALLES,144.057333602,ALL,ALL,ALL,tram-b
ALSACE-LORRAINE,SAINTE-CLAIRE - LES HALLES,271.4422152169002,ALL,ALL,ALL,tram-b
GARES,SAINTE-CLAIRE - LES HALLES,74.9191489403,ALL,ALL,ALL,tram-b
SAINT-BRUNO (TRAM),SAINTE-CLAIRE - LES HALLES,71.92803887809995,ALL,ALL,ALL,tram-b
PALAIS DE JUSTICE,SAINTE-CLAIRE - LES HALLES,135.12764347999996,ALL,ALL,ALL,tram-b
CITE INTERNATIONALE,SAINTE-CLAIRE - LES HALLES,73.19593951139998,ALL,ALL,ALL,tram-b
CEA - CAMBRIDGE,SAINTE-CLAIRE - LES HALLES,16.180920403099996,ALL,ALL,ALL,tram-b
PRESQU'ILE,SAINTE-CLAIRE - LES HALLES,51.491373244100004,ALL,ALL,ALL,tram-b
PLAINE DES SPORTS,VICTOR HUGO,51.8892360766,ALL,ALL,ALL,tram-b
