up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
BIBLIOTHEQUES UNIVERSITAIRES,CONDILLAC - UNIVERSITES,234.87694480819988,ALL,ALL,ALL,tram-c
GABRIEL FAURE,CONDILLAC - UNIVERSITES,157.2777954599,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,CONDILLAC - UNIVERSITES,207.1751655696,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,CONDILLAC - UNIVERSITES,421.92751891939935,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,CONDILLAC - UNIVERSITES,182.8016485051,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,CONDILLAC - UNIVERSITES,210.76385270589986,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),CONDILLAC - UNIVERSITES,159.03011309259998,ALL,ALL,ALL,tram-c
CHAVANT,CONDILLAC - UNIVERSITES,486.852721759,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,CONDILLAC - UNIVERSITES,168.1778178196999,ALL,ALL,ALL,tram-c
FOCH - FERRIE,CONDILLAC - UNIVERSITES,245.08592319139998,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,CONDILLAC - UNIVERSITES,291.25084030149975,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,CONDILLAC - UNIVERSITES,113.70469506549999,ALL,ALL,ALL,tram-c
VALLIER - CATANE,CONDILLAC - UNIVERSITES,108.14725714039999,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,CONDILLAC - UNIVERSITES,71.45554902519999,ALL,ALL,ALL,tram-c
FAUCONNIERE,CONDILLAC - UNIVERSITES,35.197567090899994,ALL,ALL,ALL,tram-c
GRAND PRE,CONDILLAC - UNIVERSITES,10.8320416639,ALL,ALL,ALL,tram-c
MAS DES ILES,CONDILLAC - UNIVERSITES,105.867635754,ALL,ALL,ALL,tram-c
LE PRISME,CONDILLAC - UNIVERSITES,27.6711609904,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,SEYSSINET-PARISET HOTEL DE VILLE,59.23629295819998,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,SEYSSINET-PARISET HOTEL DE VILLE,102.66414493459999,ALL,ALL,ALL,tram-c
GABRIEL FAURE,SEYSSINET-PARISET HOTEL DE VILLE,63.6435898024,ALL,ALL,ALL,tram-c
