up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
LES TAILLEES - UNIVERSITES,PARC JO BLANCHON,173.13292105560024,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,PARC JO BLANCHON,150.7699738658001,ALL,ALL,ALL,tram-d
MAISON COMMUNALE,PARC JO BLANCHON,92.66263747420001,ALL,ALL,ALL,tram-d
EDOUARD VAILLANT,PARC JO BLANCHON,32.6434599886,ALL,ALL,ALL,tram-d
ETIENNE GRAPPE,PARC JO BLANCHON,27.7449859632,ALL,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,EDOUARD VAILLANT,226.47396382200046,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,EDOUARD VAILLANT,155.86414256010002,ALL,ALL,ALL,tram-d
MAISON COMMUNALE,EDOUARD VAILLANT,55.163971788,ALL,ALL,ALL,tram-d
PARC JO BLANCHON,EDOUARD VAILLANT,14.560615263700003,ALL,ALL,ALL,tram-d
ETIENNE GRAPPE,EDOUARD VAILLANT,168.43060478150005,ALL,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,ETIENNE GRAPPE,317.56682545350077,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,ETIENNE GRAPPE,375.7318945645004,ALL,ALL,ALL,tram-d
MAISON COMMUNALE,ETIENNE GRAPPE,251.79104545520016,ALL,ALL,ALL,tram-d
EDOUARD VAILLANT,ETIENNE GRAPPE,208.97753323520004,ALL,ALL,ALL,tram-d
PARC JO BLANCHON,ETIENNE GRAPPE,36.60440296949999,ALL,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,LES TAILLEES - UNIVERSITES,339.6463220373009,ALL,ALL,ALL,tram-d
MAISON COMMUNALE,LES TAILLEES - UNIVERSITES,193.63582771120008,ALL,ALL,ALL,tram-d
EDOUARD VAILLANT,LES TAILLEES - UNIVERSITES,335.77381615579935,ALL,ALL,ALL,tram-d
PARC JO BLANCHON,LES TAILLEES - UNIVERSITES,208.8676131595997,ALL,ALL,ALL,tram-d
ETIENNE GRAPPE,LES TAILLEES - UNIVERSITES,351.72149271239965,ALL,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,NEYRPIC - BELLEDONNE,215.4920524210004,ALL,ALL,ALL,tram-d
